video_id,title,duration,upload_date,playlist,playlist_id
IW_W4LTr1kE,Beginners Guide to Covered Calls | Passive Income Hack with Options,2678.0,NA,October 2023 Summit: Navigating Changes in Market Trends,PLSC1eKlsCR8SPBmvgE5htLvN1FHCo62Us
o8DGIfUnkkM,Safest Options Strategy Revealed l Collar Strategy for Beginners,3346.0,NA,October 2023 Summit: Navigating Changes in Market Trends,PLSC1eKlsCR8SPBmvgE5htLvN1FHCo62Us
g-wuMqo5gOo,OptionsPlay Platform Walkthrough: Portfolio Automation with OptionsPlay,2363.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
siCmu7HVcDk,OptionsPlay Platform Walkthrough: The Hub,1799.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
Vkq1qjK3ySg,OptionsPlay Platform Walkthrough: Master the OptionsPlay Watchlist,1485.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
K3H6p_SsmNc,OptionsPlay Platform Walkthrough: Trade Analysis Tool,2429.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
1_f-__gDKBg,OptionsPlay Platform Walkthrough: Platform Overview,1588.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
ZxNv0JJZfBc,OptionsPlay Platform Walkthrough: Using the Strategy Comparison Tool,2561.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
Eeou1xEP3lk,Trading Integration with TradeStation,1199.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
eMKK6p98j-E,OptionsPlay Trading Integration with TradeStation Securities,2846.0,NA,OptionsPlay Platform Walkthrough,PLSC1eKlsCR8RrVLU3re6oYs75Yw1FaL6n
UtiIEuG9toA,When will oil prices and inflation go down?,1818.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
iT88ExM9uuw,How to help protect your portfolio if the Fed raises interest rates,1735.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
ZvUTmam0UOU,How the stock market is responding to the Middle East - 09/03/2026,1778.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
nk7D4i98djc,Is it time to invest outside of big tech? - 08/20/2026,1466.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
Vs85N7zB4l4,Stagflation Regime Intensifying - 3/19/2026,1872.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
OjsQ_MEHGPQ,FOMC Aftermath and Financial Firm Trades,1416.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
FxhzuhpwJNw,From Exuberance to Uncertainty,1032.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
UEs-9U1bJWw,Cooled Markets Spark an Electrical Trade Idea,1527.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
kuk6_Szc_0E,From Optimism to Tempered Momentum in the Market,1151.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
YkxLuOB7Jj0,Options Outlook: Analyzing Fed Signals and S&P Reactions,1125.0,NA,In The Money,PLSC1eKlsCR8QuyCiXmpQ1-lcCz-1YGobF
yO00kTC0au4,How to Grow A Small Options Account,44.0,NA,Ads/Marketing,PLSC1eKlsCR8T66Ot1KQMxilsuyM69-wU6
TXbzQsNBvvk,"Catch the Falling Knives, Post Mag 7 Earnings",2377.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
5oQXtGef5cE,How to Buy the Dip When Everyone Panics | Stock Market Pullback Strategy 2026,3658.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
ZS_hzRzJz9M,How to Find High-Probability Trend Following Setups,696.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
Oh0GBsOBjFw,I Automated a $300k Job for $2 with AI,2647.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
uT_CZY7SdSE,How to Protect Your Investments at Zero Cost,2106.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
mb3n4wjKaDo,The #1 Strategy to Grow a Small Options Account in 2026,3114.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
RAiOGqImlB4,"OptionsPlay Growth Lab  - January 22, 2026",4607.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
l1Daj_pZ5AQ,"OptionsPlay Growth Lab - December 18, 2025",3590.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
OgcU_DDmtUg,"OptionsPlay Growth Lab - December 4, 2025",3139.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
o5qaznGG_pU,"OptionsPlay Growth Lab - December 11, 2025",3111.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
AiuZC3ydT8w,"OptionsPlay Growth Lab  - Nov 20, 2025",3519.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
dG1C6nGUpIU,"GrowthLab  - Nov 13, 2025",2920.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
90K0b2kmnVw,"Growth Lab   November 6, 2025",2991.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
HS_rxFqx8lU,"OptionsPlay Growth Lab - October 30, 2025",3335.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
UCBNeJsSNVw,This is What Profitable Traders Actually Do,2726.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
xU4ztqgvlpI,"OptionsPlay Growth Lab - October 23, 2025",3889.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
R-3wiZzJRkg,"OptionsPlay Growth Lab - October 16, 2025",3660.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
Zo_ReoM9bEI,"OptionsPlay Growth Lab - October 9, 2025",3440.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
qIUb5Vhy0NA,"OptionsPlay Growth Lab  - October 2, 2025",3504.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
6KiHzDMmFKI,"Growth Lab - September 25, 2021",3441.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
kNxSl3rfs9g,"OptionsPlay Growth Lab - September 21, 2025",3451.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
dpUMV0H7rRw,OptionsPlay Growth Lab,3803.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
Ymu2l7hzMvE,OptionsPlay Growth Lab,3122.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
_ruvHPlW-mI,"OptionsPlay Growth Lab - August 14, 2025",3304.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
Zd5SBkHm2Zc,The SECRET to Passive Income - Learn Credit Spreads Fast!,2197.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
ErJN5bjpY88,OptionsPlay Growth Lab,2992.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
g9HFlTHY3yA,RETIRE with these Options Strategies!,2379.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
RokhF9v62HE,I Built the ULTIMATE Algorithm to Trade Earnings!,1864.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
yCAYvRwSscI,Battle of the Butterflies: 0DTE Showdown!,3493.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
Azl-apHKEGU,Master Market Trend Reversals!,3942.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
zAxXwa_puLw,Pricing Secrets: 0DTE Gamma,2634.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
-XQsvGyoL00,Frequently Asked Questions About TRADING,5370.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
JocW9I-NFTQ,The Only Strategy I’ve Trusted for 16+ Years!,2035.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
xdrXTASIwAs,Get Maximum Weekly Income – Trade Adjustments!,3603.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
t5fx2AYdty0,Outsmart 0DTE Credit Spreads - Use Better Plays!,4123.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
g3bRdKQigPI,Trading FAQ - What You Need to Know NOW,3483.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
La8vxQCgl6k,BEST Stocks for Max Weekly Income,3625.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
MmkGHu3Z1QU,A Smarter Way to Trade in Uncertain Markets,4833.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
N_HnKpwox1I,Buying vs. Selling 0DTE Options – What You MUST Know,3206.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
8jyWznMZu3Y,The #1 Options Strategy You NEED!,4065.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
rpPKcK8ABNQ,Your Trading Questions ANSWERED!,3329.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
m2-bo0kxMu0,How to Manage Losing Credit Spread,3900.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
3VVjDDJvu2s,I Built the Ultimate Algorithm to Trade Earnings!,2904.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
BDkMi8tiTh0,How to Grow Your Trading Account,4164.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
9ndDRDgM1To,Top 3 Income Strategies for Weekly Income - During Trade Wars,3957.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
jnbLeyUl8us,ThinkOrSwim Tutorial: Protecting Positions,2575.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
ASXeaaZe_kg,How to Find Explosive Earnings Stocks,4267.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
BumHyehjy3M,Trading Q&A: Navigate Trade War Volatility,3563.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
CbJAUkACXts,Find the Perfect Entry Time,3747.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
E5xtJ4L2Ql4,How to Trade 0DTE Options During a Trade War,3940.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
r7TgHSjWR9Q,How to Profit from a Tariff Trade War,3554.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
n5wPJvxCdFA,Make Passive Income with THIS Wheel Options Trading Strategy,4236.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
e2y8LUTMOsI,How to Master Options for Volatile Markets with Tom Sosnoff (CHEAT SHEET),3595.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
6ji12Szq4c0,You’ll Fail With Options Trading Unless You Avoid THESE Landmines!,4767.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
legYo-kspHw,"Tariffs Are Here, What You Need To Know",3778.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
0bbeuE-tXMg,Selling Put Options (How to Sell Put Options for Monthly Profit),5062.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
8pCYJBIvt3Q,Grok 3 - Undisputed AI King for Traders,4194.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
ejund9pIzXo,"Trading Call Options 101:  ATM, ITM, or OTM  🤔",5155.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
n1T3PUyS4uQ,How to Choose the BEST Stocks for Covered Calls Trading,4123.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
zIInWEysOBw,Rolling an Options Trade Explained | Long Call & Put Spreads,4313.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
aOT1yP10_To,Rolling Options to Avoid Losing Money - Trade Like a Pro,4199.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
aC1B9VLJvOo,Best AI Trading Tools - This is CRAZY!,3652.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
B__r-2HAoE8,Earnings Season Has Started!,3420.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
9dUhEk9gcGw,How to Profit from a Market Crash l PROTECT your Portfolio 2025,3373.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
bablegECtWE,Top 3 Options Strategies for Monthly Income,4048.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
mLlDwuqv8vw,How To Trade Bitcoin Options: Step-by-Step Guide For 2025,2073.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
QxLemjfNfEs,STOP Making these TOP 10 Options Trading Mistakes l YOU NEED TO KNOW!!,4310.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
QBcDJ_h4NjU,Some of The BEST 0DTE Strategies for Profit with Tom Sosnoff,3176.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
EMgNk50a-to,You'll NEVER Buy Stocks Again: Deep in the Money Calls (STRATEGY),3453.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
zdJQ2-aBVOs,How Option Prices Work: Volatility and Probability Basics,4489.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
GnMIZdMgG1o,Grow A Small Account: Options WEEKLY Income Strategy,3851.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
KFmoZGi_SGE,How Option Pricing Works: A Complete Beginner's Guide,4624.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
kwMxzA0_7dw,How to Fix a Losing Trade | Step by Step (2024),4039.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
7d9bg18fx3w,"How I turned $1,000 risked into an $8,000 profit",3703.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
7t2EROvIVSg,The #1 Backtested Strategy For 0 DTE Options,3630.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
pQlGgcyrUoQ,The ONLY #1 Options Strategy You May Need with Tom Sosnoff,3604.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
Eu7PxFcUWmc,Option Trading Strategy: Setup a Butterfly Spread l Step by Step,3436.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
kbJGZ1XjT_8,NA,NA,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
tdJ33MXstfw,Butterfly Options Trading Secrets FINALLY Revealed l Full Guide,4265.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
XkLeD_OEThs,"Meet Brian Overby, Our New Senior Options Strategist",3241.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
6YKHmEwpQ64,PROFIT Like a Pro Daily Bullish and Bearish Ideas That Work,3825.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
5ufZgjCC7m0,How to Build a Profitable Strategy with ChatGPT,3183.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
DGFjhPkPsLA,Back to Basics: Covered Calls,3536.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
8ViGSUlWhmk,How to Profit in a Bear Market l BEST Strategies,3749.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
p-8r0ttp1XU,Time & Trade Bearish Markets,3760.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
x2ZRbApa-Mc,Earn WEEKLY Income with Cash-Secured Puts: Step-by-Step Guide,3668.0,NA,Options Education,PLSC1eKlsCR8QdrC7GftZkPTVvD1DWfZIp
