video_id,title,duration,tab,channel_rank,playlists,reviewed,score
gVZSt8J3vyU,Here's what happens when the credit spread is not an earnings play!,,shorts,153.0,,False,3
RQI4hbGQJOY,How to Find Futures Trading Opportunities using Statistics,4030.0,streams,5.0,,False,3
uJv0zDQ2auY,Trading Earnings w/ Limited Risk using Options,3569.0,streams,28.0,,False,3
wG0yvxmDuXI,Why the Options Market Is Always Wrong About Volatility,2704.0,videos,2.0,"Read the Market Like a Pro: Charts, Market Regime, and Volatility Made Simple",False,3
2H1z0vauisg,How the Early Breakout Detector Finds Trends Before They Go Mainstream,3306.0,videos,25.0,Where Your Next Trade Comes From: Finding Opportunities on OptionsPlay,False,3
lCrcb0wkzxw,This Week's Breakout Ideas and What the Market Is Telling Us,2734.0,videos,26.0,,False,3
ITjKK9fbayw,"The Complete Trading Profitability Playbook: Account Math, Risk Control, Winners, and Rules",10885.0,videos,27.0,Why Winning Trades Aren't Enough: How Traders Actually Grow an Account,False,3
rhdYFn9SFqo,"What We Learned From This Month's Winners, Losers, and Risk Decisions",2675.0,videos,30.0,,False,3
4zwgKjj8-fk,"Your Options Guide for Profitability: How to Find, Plan, and Manage Every Trade",8958.0,videos,36.0,Stop Chasing Trades: How to Build an Options Trading Plan,False,3
xM_-GFgvMnM,How to Manage a Trade and Review the Decision,2976.0,videos,37.0,Stop Chasing Trades: How to Build an Options Trading Plan,False,3
9VylBGWJVT8,How to Spot Leading Stocks Before It's Obvious,2535.0,videos,46.0,,False,3
TXbzQsNBvvk,"Catch the Falling Knives, Post Mag 7 Earnings",2377.0,videos,61.0,Options Education,False,3
p254LVJtF_M,Make Trade Adjustments Like a PRO!,2427.0,videos,73.0,,False,3
RokhF9v62HE,I Built the ULTIMATE Algorithm to Trade Earnings!,1864.0,videos,76.0,Options Education,False,3
yCAYvRwSscI,Battle of the Butterflies: 0DTE Showdown!,3493.0,videos,77.0,Options Education,False,3
zAxXwa_puLw,Pricing Secrets: 0DTE Gamma,2634.0,videos,79.0,Options Education,False,3
La8vxQCgl6k,BEST Stocks for Max Weekly Income,3625.0,videos,85.0,Options Education | Weekly Income with Options,False,3
N_HnKpwox1I,Buying vs. Selling 0DTE Options – What You MUST Know,3206.0,videos,88.0,Options Education,False,3
3VVjDDJvu2s,I Built the Ultimate Algorithm to Trade Earnings!,2904.0,videos,92.0,Options Education,False,3
9ndDRDgM1To,Top 3 Income Strategies for Weekly Income - During Trade Wars,3957.0,videos,94.0,Options Education | Weekly Income with Options,False,3
ASXeaaZe_kg,How to Find Explosive Earnings Stocks,4267.0,videos,96.0,Options Education,False,3
n5wPJvxCdFA,Make Passive Income with THIS Wheel Options Trading Strategy,4236.0,videos,100.0,Options Education | Weekly Income with Options,False,3
0bbeuE-tXMg,Selling Put Options (How to Sell Put Options for Monthly Profit),5062.0,videos,104.0,Options Education,False,3
aOT1yP10_To,Rolling Options to Avoid Losing Money - Trade Like a Pro,4199.0,videos,110.0,Options Education,False,3
B__r-2HAoE8,Earnings Season Has Started!,3420.0,videos,112.0,Options Education,False,3
bablegECtWE,Top 3 Options Strategies for Monthly Income,4048.0,videos,114.0,Options Education | Weekly Income with Options,False,3
zdJQ2-aBVOs,How Option Prices Work: Volatility and Probability Basics,4489.0,videos,120.0,Options Education,False,3
GnMIZdMgG1o,Grow A Small Account: Options WEEKLY Income Strategy,3851.0,videos,121.0,Options Education | Weekly Income with Options,False,3
kwMxzA0_7dw,How to Fix a Losing Trade | Step by Step (2024),4039.0,videos,123.0,Options Education,False,3
Eu7PxFcUWmc,Option Trading Strategy: Setup a Butterfly Spread l Step by Step,3436.0,videos,128.0,Options Education,False,3
tdJ33MXstfw,Butterfly Options Trading Secrets FINALLY Revealed l Full Guide,4265.0,videos,129.0,Options Education,False,3
x2ZRbApa-Mc,Earn WEEKLY Income with Cash-Secured Puts: Step-by-Step Guide,3668.0,videos,133.0,Options Education | Weekly Income with Options,False,3
769_0jXUNw8,Unlock Huge Profits This Earnings Season l MUST-Know Options Strategies,3744.0,videos,135.0,Options Education,False,3
HsFwdxmis8Q,The Best Trend Following Trading System,3618.0,videos,144.0,Options Education,False,3
L60rE1dbCQ4,The #1 Options Strategy in 2024: Maximize Yield with Covered Calls,3313.0,videos,146.0,Options Education,False,3
IHPIwMB6E8I,How To Trade Earnings Reports: Advanced Options Strategies for RESULTS,3053.0,videos,147.0,Options Education,False,3
_gVYasMdqtc,HOW TO TRADE 0DTE - MY TOP 3 STRATEGIES,3845.0,videos,150.0,,False,3
eeEW_XyQkW4,(EASY) How to Make Weekly Income Selling Options,3634.0,videos,152.0,Weekly Income with Options,False,3
EDWzJ2RzmIA,3 Top Options Trading Strategies for Monthly Income,3930.0,videos,153.0,,False,3
5TRN9mJNbnQ,Long Call and Put Butterfly Option Strategy l 2024 Best Tips,3423.0,videos,156.0,February Summit 2024: Advanced Plays,False,3
jBu1Oxv19Rc,Risk Management & Position Sizing Strategy for Trading: Maximize Profits FAST,3882.0,videos,159.0,January 2024 Summit: 2024Trading Kickoff: Your Path to Profitable Trading,False,3
GwnedmkaA4Q,Trading Butterfly Spreads (Guide w/ Examples),3454.0,videos,161.0,,False,3
xZxOrbCHaYU,How I use Position Sizing and Risk Management to Always Stay Profitable,1858.0,videos,171.0,,False,3
JNWgoKfP760,Growing your Options Account in a Volatile Market,4284.0,videos,179.0,,False,3
7leAn7HDdWc,Trading Tips for a Volatile Market,3967.0,videos,183.0,,False,3
kYALuoUXC5o,How to Trade the Wheel Strategy in 2022 l BEST Tips to Make Money - Options Trading,4908.0,videos,200.0,,False,3
lDURqmyenkg,How I Research the Best Earnings Trades this Season,3515.0,videos,212.0,,False,3
S6pvpicEdKg,The #1 Most Underutilized Options Income Strategy ☝️,3471.0,videos,217.0,,False,3
3olLf6vUZpg,Trading Earnings with Options (My BEST Strategies and Examples),3591.0,videos,223.0,,False,3
lndaXxubo7o,Former Options Market Maker Shares Trading Tips & Tricks!,3891.0,videos,224.0,,False,3
psyZGHpNlDE,How Payment for Order Flow Affects Your Trades l Markets Uncovered,3488.0,videos,225.0,,False,3
8QiqC900Vk0,How to Master the #1 Options Income Strategy,3481.0,videos,226.0,,False,3
Ct42yUtEu24,How to Prevent Account Blowups - RISK MANAGEMENT,3839.0,videos,229.0,,False,3
fsqVCWhCXWQ,How to Research and Trade Earnings Season l Options Trading,3467.0,videos,241.0,,False,3
ojMjSSvDZxU,Understanding Liquidity and How Market Makers Trade,4079.0,videos,242.0,,False,3
NQjn5srlMp4,How to trade Covered Calls l Generate Income FAST l Options Trading,4634.0,videos,250.0,,False,3
Za_HZqDTw7g,Buying Vs. Selling Options l Options Traders MUST Know,4590.0,videos,264.0,,False,3
SHMxtOGSIJg,How to Research & Trade Earnings using Options (Step by Step),5728.0,videos,268.0,,False,3
F8Vka_0HiZE,The Most Important Rule of Trading - Risk Management,538.0,videos,276.0,,False,3
n9QC464mwds,Creating a Portfolio Hedging Strategy by Todd Gordon,2320.0,playlist_only,,Nasdaq-100 Index Options Education Event,False,2
V-p3hUwOfHY,Leveraging Technical Analysis w/ Nasdaq-100 Index Options,4109.0,playlist_only,,Nasdaq-100 Index Options Trading Strategies,False,2
pIk3nKCpCfA,Maximizing Profits with Debit Vertical Spreads,3744.0,playlist_only,,Webinar Series: Learn to Trade Options,False,2
TTTT6v6gpsw,LEAPs Options: A Stock Replacement Strategy,3739.0,playlist_only,,Webinar Series: Learn to Trade Options,False,2
hewpY8-4jos,Want to make the most of market volatility? Consider employing the Wheel Strategy 🔄📈,,shorts,128.0,,False,2
u5FDuWcVqXE,Here's an Optimal credit spread setup ⬆️,,shorts,135.0,,False,2
J69L5bP9MgY,Let's talk about selling options as a short volatility play 💡,,shorts,207.0,,False,2
nHJ0RetxIg4,How would you switch a credit spread to a debit spread?,,shorts,317.0,,False,2
O10HPkehHiI,LEAPs Options: A Stock Replacement Strategy,3979.0,streams,27.0,,False,2
JnbKJCHsuCE,How to Choose the Right Options Strategy for a Trade Idea,3025.0,videos,39.0,Stop Chasing Trades: How to Build an Options Trading Plan,False,2
uT_CZY7SdSE,How to Protect Your Investments at Zero Cost,2106.0,videos,67.0,Options Education,False,2
CbJAUkACXts,Find the Perfect Entry Time,3747.0,videos,97.0,Options Education,False,2
9dUhEk9gcGw,How to Profit from a Market Crash l PROTECT your Portfolio 2025,3373.0,videos,113.0,Options Education,False,2
xinVWkIaMbI,Let's discuss the credit spread side and the debit spread side! 💡,61.0,videos,145.0,,False,2
FsOdi9gu-rM,Revealing the Secrets of Index Options: Hedging Strategy,2720.0,videos,154.0,February Summit 2024: Advanced Plays,False,2
2_MaQKyvX4g,How to Trade the Markets with the Nasdaq-100 Index!,3983.0,videos,188.0,,False,2
YkyWfWmT4_g,Strategy Mastery | Debit Spreads 📈,4956.0,videos,191.0,,False,2
-pohtvz_Ako,Optimal Strategies for Options on Futures 📈,4041.0,videos,192.0,,False,2
T6_jcrUvHeM,How to Protect Your Portfolio using Options / Learn How Options Can be The Secret To SUCCESS 📈,3381.0,videos,208.0,,False,2
IZjXhgvDKMw,How to Protect Your Positions with Collar Spreads,1790.0,videos,213.0,,False,2
1ECsweliWkc,How to Trade Index Options I Options Traders MUST Watch - NASDAQ VS. S&P,3089.0,videos,235.0,,False,2
8zpy5cD_cq8,Hedging Positions l Powerful Options Strategies,476.0,videos,238.0,,False,2
dH9CPv1I6IQ,Top 3 Strategies for Index Options l Options Traders MUST Watch,499.0,videos,245.0,,False,2
gF_A8JbI6Jo,Index Options Trading Strategies l Options traders MUST Watch,4440.0,videos,248.0,,False,2
ylOC0-Hy5wQ,How to Trade Calendar & Diagonal Spreads l Best TIPS l Options Trading,4616.0,videos,253.0,,False,2
E9J7nNpR_rM,Trading Calendar and Diagonal Spreads l Options Trading,5379.0,videos,270.0,,False,2
3W_-aGxuhQ4,Longer term investing with LEAPs,5122.0,videos,273.0,,False,2
jt7mjlU1whk,Market Outlook & Options Questions with Tom Sosnoff,4052.0,playlist_only,,Webinar Series: Learn to Trade Options,False,1
_B99B2jpo_Q,Don't sell your long-term positions when the market gets shaky. Hedge them.,,shorts,53.0,,False,1
MvTcDGQNnYg,Important things you need to know about EARNINGS CALENDARS 💡,,shorts,216.0,,False,1
BT3x5O2Acns,How to Trade Iron Condors l Options Trading Strategy Explained,3701.0,streams,6.0,,False,1
hNf6wJuLiMU,Market Rotation Is Here — 6 Early Breakout Stocks to Watch Before the Crowd Does,2388.0,videos,28.0,,False,1
DflH0AUVETQ,Tom Sosnoff l Introduction to Small Futures l Trading Futures,4119.0,videos,259.0,,False,1
lT2zqGZAPfo,OptionsPlay Live Coaching,140.0,playlist_only,,OptionsPlay Walkthrough Videos,False,0
SL3Vie6ZjZw,OptionsPlay - DailyPlay,207.0,playlist_only,,OptionsPlay Walkthrough Videos,False,0
ffmJfk3VvcA,OptionsPlay Position Alerts,248.0,playlist_only,,OptionsPlay Walkthrough Videos,False,0
ju1ENbeCgfU,OptionsPlay Watchlists,188.0,playlist_only,,OptionsPlay Walkthrough Videos,False,0
fRoTSNT9Psg,How to Use OptionsPlay Strategy Builder,302.0,playlist_only,,OptionsPlay Walkthrough Videos,False,0
ZvUTmam0UOU,How the stock market is responding to the Middle East - 09/03/2026,1778.0,playlist_only,,In The Money,False,0
nk7D4i98djc,Is it time to invest outside of big tech? - 08/20/2026,1466.0,playlist_only,,In The Money,False,0
OjsQ_MEHGPQ,FOMC Aftermath and Financial Firm Trades,1416.0,playlist_only,,In The Money,False,0
FxhzuhpwJNw,From Exuberance to Uncertainty,1032.0,playlist_only,,In The Money,False,0
kuk6_Szc_0E,From Optimism to Tempered Momentum in the Market,1151.0,playlist_only,,In The Money,False,0
dG1C6nGUpIU,"GrowthLab  - Nov 13, 2025",2920.0,playlist_only,,Options Education,False,0
BumHyehjy3M,Trading Q&A: Navigate Trade War Volatility,3563.0,playlist_only,,Options Education,False,0
XkLeD_OEThs,"Meet Brian Overby, Our New Senior Options Strategist",3241.0,playlist_only,,Options Education,False,0
DGFjhPkPsLA,Back to Basics: Covered Calls,3536.0,playlist_only,,Options Education,False,0
p-8r0ttp1XU,Time & Trade Bearish Markets,3760.0,playlist_only,,Options Education,False,0
8upU0dIn9gw,Nasdaq Exchange Opening Remarks by Tanya Patwa,589.0,playlist_only,,Nasdaq-100 Index Options Education Event,False,0
KSkBXzKQrAY,Minimize Risk with Vertical Option Spreads by Tony Zhang,2508.0,playlist_only,,Nasdaq-100 Index Options Education Event,False,0
6b7B4RTjZMc,Technical Analysis of NDX by James Chen,2600.0,playlist_only,,Nasdaq-100 Index Options Education Event,False,0
bD-WSmx-FJM,Live Market Analysis - June 25th 2020,4763.0,playlist_only,,Advanced Options Course,False,0
sihVzIJ4QO4,"Live Market Analysis with Q&A with Tony Zhang - July 30th, 2020",5115.0,playlist_only,,Advanced Options Course,False,0
ByKBd7VFqbI,"Friday Market Outlook - Slice & Diced Data - June 5th, 2020",1914.0,playlist_only,,Market Outlook Series,False,0
VHMNvY61HRA,"OptionsPlay Market Outlook - Buy the Dip by Selling Options - June 12th, 2020",2085.0,playlist_only,,Market Outlook Series,False,0
x9FZVDrkh4U,"Market Outlook: Upside Breakout Building - July 17th, 2020",2132.0,playlist_only,,Market Outlook Series,False,0
kTSU61Lda9k,"Market Consolidation Ahead - July 28th, 2020",1920.0,playlist_only,,Market Outlook Series,False,0
J70RcMyRuaA,"Downside Risks Arise - July 31st, 2020",1847.0,playlist_only,,Market Outlook Series,False,0
ZRLALIKvDSk,"Equities Stretch Further - Aug 4th, 2020",1725.0,playlist_only,,Market Outlook Series,False,0
v2UtOmxS-_o,"Markets Enter Silly Season - August 7th, 2020",1819.0,playlist_only,,Market Outlook Series,False,0
UhT1w5gB7Jk,"Are We Watching an Asset Bubble Form? - Aug 11th, 2020",1923.0,playlist_only,,Market Outlook Series,False,0
5Li2BJftVPs,"Markets Are Exhausted - Aug 14, 2020",1791.0,playlist_only,,Market Outlook Series,False,0
uxjLtoSvcvU,"Market Health Deteriorates with New Highs - Aug 25th, 2020",1802.0,playlist_only,,Market Outlook Series,False,0
2cy1ipogrA4,"Keep Calm and Stay Long - Aug 28th, 2020",1785.0,playlist_only,,Market Outlook Series,False,0
N5po7_ig6Ho,"The Big Picture of Markets - Sept 1st, 2020",1729.0,playlist_only,,Market Outlook Series,False,0
2tEiWnddro8,"Signals of Stabilization - 🇺🇸 Sept 11, 2020 🇺🇸",1808.0,playlist_only,,Market Outlook Series,False,0
QtoVY_VnQQ8,"Sector Rotation with Risks Bubbling Up - Sept 15th, 2020",1845.0,playlist_only,,Market Outlook Series,False,0
i5W9a7qYydI,"Markets are Hanging By A Thread - Sept 18th, 2020",1824.0,playlist_only,,Market Outlook Series,False,0
4NZlXjRo2Ww,"Defensive Tone to Markets - Sept 22nd, 2020",1598.0,playlist_only,,Market Outlook Series,False,0
ijGXhsKJoMw,"Major Support Levels & Rising Downside Risks - Sept 25th, 2020",1805.0,playlist_only,,Market Outlook Series,False,0
lxV4K0X-80k,"Not Out of the Woods Yet - Sept 29th, 2020",1705.0,playlist_only,,Market Outlook Series,False,0
1Vj08zo7uN0,"News Driven Weakness, Markets Remain Resilient - Oct 2nd, 2020",1611.0,playlist_only,,Market Outlook Series,False,0
gGb_8VB5_lw,Consolidation Before Massive Rally,1831.0,playlist_only,,Market Outlook Series,False,0
TnuOGHQjUhk,Broad Rally on the Horizon,1845.0,playlist_only,,Market Outlook Series,False,0
Tjg52YUNZIo,Santa Clause Rally,1803.0,playlist_only,,Market Outlook Series,False,0
2HfGjVwho-A,Fully Priced Optimism,1795.0,playlist_only,,Market Outlook Series,False,0
B4-lii6DrB8,Bullish Tailwinds Converge,1770.0,playlist_only,,Market Outlook Series,False,0
EsO6hlj7nS4,Rapid Fire Session with Prakash Vijayanath / 04.03.2022,2428.0,playlist_only,,Market Outlook Series,False,0
zoBBfDE0s0o,"Technical Tuesday With Rick Bensignor! I MO March 8, 2022 I",1797.0,playlist_only,,Market Outlook Series,False,0
09kKtVp8ZDs,Rapid Fire Session With Prakash Vijayanath / May 6th,2479.0,playlist_only,,Market Outlook Series,False,0
RoeNIskDv-4,Rapid Fire Session with Prakash : June 10th,2797.0,playlist_only,,Market Outlook Series,False,0
jslf3PlgxrU,"Live Market Analysis with Q&A - May 28th, 2020",4011.0,playlist_only,,Intermediate Options Trading Course,False,0
pw022SwN1i8,"Live Market Analysis with Tony Zhang - Oct 22nd, 2020",4640.0,playlist_only,,Intermediate Options Trading Course,False,0
0Gz3BQmm91k,Beginner's Options Course: Part 2 - Managing Options Orders,2998.0,playlist_only,,Beginners Options Trading Course,False,0
r0gzugOztUY,Beginners Options Course - Part 3: Buying vs. Selling Options,3212.0,playlist_only,,Beginners Options Trading Course,False,0
5ulfWpl2CNc,Enhancing Your Equity Positions using Options,4722.0,playlist_only,,Beginners Options Trading Course,False,0
TpizwQr9_gI,"Live Market Analysis with Tony Zhang - Aug 27th, 2020",4029.0,playlist_only,,Beginners Options Trading Course,False,0
UIJkY08UKwg,Add Leverage with Limited Risk using Options,5991.0,playlist_only,,Beginners Options Trading Course,False,0
5nuZh4HdXaI,Trading Psychology & Risk Management for Options Trading,4616.0,playlist_only,,Beginners Options Trading Course,False,0
aFNkj4ovDRw,Live Market Analysis with Tony Zhang - Sept 2020,4369.0,playlist_only,,Beginners Options Trading Course,False,0
o5drJroqO48,Trading Your First Option - Canada,5045.0,playlist_only,,OptionsPlay Canada Webinar Series: Learn to Trade Options,False,0
bcD-Ea2JN38,Advanced & Custom Strategies w/ OptionsPlay,328.0,playlist_only,,Webinar Series: Learn to Trade Options,False,0
lvVtQXsCO8w,Leveraging Technical Analysis for Options Trading,4689.0,playlist_only,,Webinar Series: Learn to Trade Options,False,0
qkVcF172AgM,The Simple Stop Loss Rule for Credit Spreads,,shorts,14.0,,False,0
ekNfeK3-vJs,You can find a credit spread with a 90% win rate and still have a terrible trade.,,shorts,51.0,,False,0
Tz--VdSE9rY,Credit Spread Mastery 🔄💼 Navigate the journey with precision! 📈,,shorts,81.0,,False,0
qJCjwKPb6YY,Unlocking the Mechanics of Bearish Credit Spreads 🛠️🐻 Here's the breakdown,,shorts,86.0,,False,0
uG8LOQNTNhQ,What's the key difference between Iron Condors and credit spreads?,,shorts,127.0,,False,0
WDDHNcABj5s,Ready to elevate your options game? Discover the power of Iron Condor strategy,,shorts,167.0,,False,0
