[2026-08-14 09:30] AMAT   GAP   day OUT -> SHORT: gap -6.6% (-1.2 ADR) -> trend-down: under falling 9/21 EMAs (-1.1 ADR) [gap-reclassified from OUT]
[2026-08-14 10:01] DRAM   LVL   LVL break 58.27 > 15d pivot 58.17 | recipe grade (ADR 6.5%, -30% vs 52wk high, stack 0d) | stop 56.27 (3.5%, 0.5 ADR under the level; at the close reset to the entry bar's low, close basis) | +1.2 ADR vs 21 EMA | vol pace 1.3x | day range pos 0.96 | open +1.9% | 20-day SMA trail 52.78 | RS vs SPY +2.3% | vs memory -1.2% | SPY > VWAP (+0.02%) | day LONG: near the 21 EMA (+0.8 ADR) | grade B: LVL 09:41-12:00 on a day-LONG name | industry: memory: peers 4/4 green, avg +3.5%
[2026-08-14 10:04] DRAM   ORB9  ORB9 5-min close 58.52 > OR high 58.33 | open 58.00 (+1.9%) held 9 EMA 53.08 | stop 57.89 (1.1%) | +1.2 ADR vs 21 EMA | vol pace 1.3x | 15d high 58.17 | SPY > VWAP (+0.05%) | day LONG: near the 21 EMA (+0.8 ADR) | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: memory: peers 4/4 green, avg +4.2%
[2026-08-14 10:04] SNDK   ORB9  ORB9 5-min close 1653.41 > OR high 1647.90 | open 1646.93 (+7.8%) held 9 EMA 1341.21 | stop 1614.39 (2.4%) | +1.6 ADR vs 21 EMA | vol pace 1.5x | 15d high 1580.88 | SPY > VWAP (+0.05%) | day LONG: near the 21 EMA (+0.8 ADR) | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: memory: DRAM +2.8% >VWAP (daily LONG), peers 3/3 green, avg +3.3%
[2026-08-14 10:07] ABBV   UR    UR reclaim 250.00 > VWAP 249.44 | low 247.68@09:32 (-0.55 ADR, undercut PDL 249.35) | higher low 248.97@09:45 | stop 247.68 (0.9%) | +0.1 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -0.4% | SPY > VWAP (+0.07%) | day LONG: near the 21 EMA (+0.2 ADR), 1.8 ADR to the prior high 260.96 | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-14 10:11] AAOI   LVL   LVL break 150.49 > 15d pivot 149.35 | recipe grade (ADR 12.2%, -44% vs 52wk high, stack 0d) | CATALYST-SIZE move (+15.7% on the day): B archetype, no validated edge | stop 140.22 (7.3%, 0.5 ADR under the level; at the close reset to the entry bar's low, close basis) | +1.9 ADR vs 21 EMA | vol pace 2.1x | day range pos 0.99 | open +0.2% | 20-day SMA trail 112.99 | RS vs SPY +15.6% | vs optical +9.7% (strongest in group) | SPY > VWAP (+0.04%) | day LONG: near the rising 21 EMA (+0.6 ADR) | grade B: LVL 09:41-12:00 on a day-LONG name | industry: optical: peers 3/3 green, avg +6.0%
[2026-08-14 10:16] ANF    UR    UR reclaim 107.67 > VWAP 107.48 | low 106.19@09:44 (-0.63 ADR, undercut PDL 108.29) | higher low 106.64@09:54 | stop 106.19 (1.4%) | still below 9 EMA 110.64 | +0.6 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -1.1% | SPY < VWAP (-0.00%) | day LONG: near the rising 21 EMA (+0.8 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-14 10:16] HD     UR    UR reclaim 338.49 > VWAP 338.10 | low 336.01@09:42 (-0.71 ADR, undercut PDL 340.51) | higher low 337.15@09:48 | stop 336.01 (0.7%) | still below 9 EMA 346.16 | -0.6 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -1.0% | SPY < VWAP (-0.00%) | day LONG: pullback into the rising 9/21 EMAs (-0.2 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-14 10:17] JNJ    UR    UR reclaim 260.92 > VWAP 260.59 | low 259.90@09:48 (-0.39 ADR, tagged 9 EMA 259.82) | higher low 260.52@10:16 | stop 259.90 (0.4%) | +0.6 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -0.5% | SPY < VWAP (-0.01%) | day LONG: near the rising 21 EMA (+0.8 ADR), 1.3 ADR to the prior high 269.43 | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-14 10:52] LLY    UR    UR reclaim 1182.82 > VWAP 1181.48 | low 1171.20@09:47 (-0.93 ADR, undercut PDL 1206.00) | higher low 1178.65@10:31 | stop 1171.20 (1.0%) | still below 9 EMA 1197.57 | -0.1 ADR vs 21 EMA | vol pace 0.7x | RS vs SPY -2.0% | SPY < VWAP (-0.07%) | day LONG: near the rising 21 EMA (+0.6 ADR), 0.6 ADR to the prior high 1232.00 | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-14 10:54] CF     BIR   (gated) BIR short 118.02 < prior 5m low 118.36 | bounce 117.07->119.00@10:35 (0.47 ADR) into prior high 118.60 [SWING HIGH] | stop 119.42 (1.2%, 0.34 ADR, STOP IN NOISE -- size to it) | -0.3 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +1.5% | vs materials +1.1% | SPY < VWAP (-0.11%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: materials: XLB +0.2% <VWAP (daily LONG), peers 2/4 green, avg +0.2%
[2026-08-14 11:52] FTNT   UR    UR reclaim 162.02 > VWAP 161.66 | low 159.10@10:17 (-0.94 ADR, undercut PDL 160.14) | higher low 160.45@10:39 | stop 159.10 (1.8%) | +0.3 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -1.8% | vs cyber +0.6% | SPY < VWAP (-0.14%) | day LONG: near the rising 21 EMA (+0.8 ADR), 0.5 ADR to the prior high 169.26 | grade B: UR 09:41-12:00 on a day-LONG name | industry: cyber: CIBR -2.1% <VWAP (daily OUT), peers 0/3 green, avg -2.7%
[2026-08-14 13:14] CF     BIR   (gated) BIR short 118.74 < prior 5m low 118.77 | bounce 117.07->119.11@12:45 (0.50 ADR) into 21 EMA 119.07 [MA] | stop 119.53 (0.7%, 0.19 ADR, STOP IN NOISE -- size to it) | -0.1 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY +2.2% | vs materials +2.3% (strongest in group) | SPY < VWAP (-0.12%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: materials: XLB +0.4% >VWAP (daily LONG), peers 1/4 green, avg -0.3%
[2026-08-14 13:29] DE     UR    (gated) UR reclaim 611.79 > VWAP 611.09 | low 607.00@09:31 (-0.33 ADR, undercut PDL 611.11) | higher low 608.22@09:35 | stop 607.00 (0.8%) | still below 9 EMA 614.10 | +0.1 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY +0.2% | vs industrial -1.0% | SPY < VWAP (-0.15%) | day LONG: near the rising 21 EMA (+0.1 ADR) | grade C: UR after 12:00 | industry: industrial: XLI +0.4% <VWAP (daily LONG), peers 2/2 green, avg +0.9%
[2026-08-14 13:31] CHRD   UR    (gated) UR reclaim 137.40 > VWAP 137.24 | low 134.57@09:33 (-0.43 ADR, tagged 9 EMA 135.68) | higher low 137.26@11:20 | stop 134.57 (2.1%) | +0.9 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY +2.4% | vs energy +1.4% | SPY < VWAP (-0.14%) | day LONG: near the rising 21 EMA (+0.2 ADR), 1.5 ADR to the prior high 140.94 | grade C: UR after 12:00 | industry: energy: XLE +1.7% >VWAP (daily SHORT), peers 4/6 green, avg +0.8%
