[2026-08-31 09:30] CVX    GAP   day OUT -> SHORT: gap +2.1% (+1.2 ADR) -> exhaustion: +2.0 ADR over the 21 EMA into the prior high 208.98 [gap-reclassified from OUT]
[2026-08-31 10:49] RGTI   BIR   (gated) BIR short 15.59 < prior 5m low 15.60 | bounce 15.45->15.89@09:55 (0.44 ADR) into VWAP 15.67 [VWAP] | stop 15.99 (2.6%, 0.40 ADR, STOP IN NOISE -- size to it) | -1.1 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY +0.5% | vs quantum -0.9% | SPY < VWAP (-0.08%) | day SHORT: trend-down: under falling 9/21 EMAs (-1.1 ADR) | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: quantum: QTUM -0.3% <VWAP (daily SHORT), peers 2/2 green, avg +0.9%
[2026-08-31 11:10] CVNA   UR    UR reclaim 73.82 > VWAP 73.41 | low 72.43@09:44 (-0.45 ADR, undercut PDL 73.78) | higher low 73.69@11:09 | stop 72.43 (1.9%) | +0.8 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +0.2% | VWAP CHOP (0 crossings in 15 min, dip +0.09 ADR): not a decisive reclaim | SPY < VWAP (-0.03%) | day LONG: near the rising 21 EMA (+0.8 ADR) | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-31 11:29] MSFT   BIR   (gated) BIR short 510.82 < prior 5m low 510.95 | bounce 507.31->512.19@11:00 (0.44 ADR) into prior high 513.73 [SWING HIGH] | stop 513.30 (0.5%, 0.22 ADR, STOP IN NOISE -- size to it) | +2.9 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -0.1% | vs megacap -0.3% | SPY < VWAP (-0.01%) | day SHORT: exhaustion: +3.2 ADR over the 21 EMA into the prior high 513.73 | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: megacap: MGK -0.4% >VWAP (daily OUT), peers 1/5 green, avg -0.3%
[2026-08-31 11:39] APH    BIR   (gated) BIR short 78.98 < prior 5m low 78.99 | bounce 77.97->79.14@11:30 (0.48 ADR) into 50 EMA 79.24 [MA] | stop 79.40 (0.5%, 0.17 ADR, STOP IN NOISE -- size to it) | -0.5 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +0.6% | SPY < VWAP (-0.06%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-31 11:53] TSLA   LVL   LVL break 366.79 > 15d pivot 366.50 | recipe grade (ADR 3.4%, -30% vs 52wk high, stack 0d) | stop 360.33 (1.8%, 0.5 ADR under the level; at the close reset to the entry bar's low, close basis) | +1.9 ADR vs 21 EMA | vol pace 1.7x | day range pos 0.99 | open -0.4% | 20-day SMA trail 338.82 | RS vs SPY +5.6% | vs megacap +6.4% (strongest in group) | SPY > VWAP (+0.02%) | day FLAT: on the 9/21 EMAs (+0.3 ADR from the 21, +0.1 from the 9): either side | daily: RS20 vs SPY +0.0pp | grade B: LVL 09:41-12:00 on a day-LONG name | industry: megacap: MGK -0.4% >VWAP (daily OUT), peers 0/5 green, avg -1.3%
[2026-08-31 11:54] CBRS   BIR   (gated) BIR short 180.89 < prior 5m low 181.01 | bounce 176.20->183.00@11:30 (0.47 ADR) into PDH 183.97 [PRICE] | stop 184.51 (2.0%, 0.24 ADR, STOP IN NOISE -- size to it) | -1.4 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY +1.4% | vs hardware +0.3% | SPY > VWAP (+0.01%) | day SHORT: trend-down: under falling 9/21 EMAs (-1.5 ADR) | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: hardware: peers 3/4 green, avg +0.7%
[2026-08-31 12:03] WFC    UR    (gated) UR reclaim 86.61 > VWAP 86.51 | low 85.88@09:31 (-0.50 ADR, tagged 9 EMA 85.68) | higher low 86.59@10:22 | stop 85.88 (0.9%) | +0.3 ADR vs 21 EMA | vol pace 0.8x | RS vs SPY +0.4% | SPY < VWAP (-0.09%) | day LONG: near the 21 EMA (+0.4 ADR) | daily: RS20 vs SPY +0.0pp | grade C: UR after 12:00
[2026-08-31 12:04] MSFT   PARA  (gated) PARA short 509.30 (VWAP) | first 5-min close back under VWAP 509.73 after the new high 512.19@11:00, red on the day (-0.8% vs prior close 513.53) | daily exhaustion: +3.2 ADR over the 21 EMA into the prior high 513.73 | cover targets 10-day 490.47 / 20-day 493.35 | stop 513.30 (0.8%, 0.36 ADR, STOP IN NOISE -- size to it) | vol pace 0.4x | UNTESTED pattern: size small | SPY < VWAP (-0.11%) | day SHORT: exhaustion: +3.2 ADR over the 21 EMA into the prior high 513.73 | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: megacap: MGK -0.6% <VWAP (daily OUT), peers 1/5 green, avg -0.5%
[2026-08-31 12:15] UBER   UR    (gated) UR reclaim 76.22 > VWAP 76.10 | low 75.34@10:07 (-1.31 ADR, undercut PDL 76.72) | higher low 75.66@10:45 | stop 75.34 (1.2%) | still below 9 EMA 77.95 | -0.0 ADR vs 21 EMA | vol pace 0.7x | RS vs SPY -2.8% | SPY < VWAP (-0.04%) | day LONG: near the rising 21 EMA (+1.0 ADR) | daily: RS20 vs SPY +0.0pp | grade C: UR after 12:00
[2026-08-31 12:49] PG     BIR   (gated) BIR short 144.92 < prior 5m low 144.94 | bounce 142.50->145.37@12:05 (1.35 ADR) into 21 EMA 145.06 [MA] | stop 145.59 (0.5%, 0.31 ADR, STOP IN NOISE -- size to it) | -0.1 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY +1.3% | SPY < VWAP (-0.02%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-31 13:14] PLTR   PARA  (gated) PARA short 185.80 (VWAP) | first 5-min close back under VWAP 185.94 after the new high 187.94@12:35, red on the day (-0.3% vs prior close 186.29) | daily exhaustion: +2.3 ADR over the 21 EMA into the prior high 182.44 | cover targets 10-day 177.15 / 20-day 171.02 | stop 188.81 (1.6%, 0.35 ADR, STOP IN NOISE -- size to it) | vol pace 0.4x | UNTESTED pattern: size small | SPY > VWAP (+0.00%) | day SHORT: exhaustion: +2.3 ADR over the 21 EMA into the prior high 182.44 | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: software: IGV +0.3% >VWAP (daily OUT), peers 5/7 green, avg +1.2%
[2026-08-31 13:37] PARR   UR    (gated) UR reclaim 78.00 > VWAP 77.85 | low 76.26@10:22 (-0.93 ADR, undercut PDL 77.18) | higher low 76.91@11:02 | stop 76.26 (2.3%) | +0.3 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -0.6% | vs energy -1.7% | SPY < VWAP (-0.03%) | day LONG: near the 21 EMA (+0.5 ADR), 0.6 ADR to the prior high 82.29 | daily: RS20 vs SPY +0.0pp | grade C: UR after 12:00 | industry: energy: XLE +1.5% <VWAP (daily OUT), peers 5/6 green, avg +0.6%
[2026-08-31 13:40] TIGO   UR    (gated) UR reclaim 93.69 > VWAP 93.56 | low 92.83@10:06 (-0.27 ADR, undercut PDL 93.13) | higher low 93.19@13:19 | stop 92.83 (0.9%) | -0.0 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +0.8% | SPY > VWAP (+0.00%) | day FLAT: on the 9/21 EMAs (-0.1 ADR from the 21, -0.1 from the 9): either side | daily: RS20 vs SPY +0.0pp | grade C: UR after 12:00
[2026-08-31 13:59] APH    BIR   (gated) BIR short 78.97 < prior 5m low 79.02 | bounce 77.97->79.16@13:50 (0.48 ADR) into 50 EMA 79.24 [MA] | stop 79.41 (0.6%, 0.17 ADR, STOP IN NOISE -- size to it) | -0.5 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY +0.5% | SPY > VWAP (+0.08%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-31 14:16] META   UR    (gated) UR reclaim 573.79 > VWAP 571.94 | low 569.14@10:11 (-0.48 ADR, undercut PDL 571.00) | higher low 571.50@11:29 | stop 569.14 (0.8%) | -0.1 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -0.4% | VWAP CHOP (5 crossings in 15 min, dip -0.03 ADR): not a decisive reclaim | SPY > VWAP (+0.10%) | day LONG: near the 21 EMA (+0.1 ADR), 1.5 ADR to the prior high 605.81 | daily: RS20 vs SPY +0.0pp | grade C: UR after 12:00
[2026-08-31 14:44] PG     BIR   (gated) BIR short 145.50 < prior 5m low 145.57 | bounce 142.50->145.90@14:30 (1.60 ADR) into 50 EMA 146.02 [MA] | stop 146.12 (0.4%, 0.29 ADR, STOP IN NOISE -- size to it) | +0.2 ADR vs 21 EMA | vol pace 0.6x | RS vs SPY +1.7% | SPY < VWAP (-0.08%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | daily: RS20 vs SPY +0.0pp | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-31 15:23] NVDA   UR    (gated) UR reclaim 219.42 > VWAP 219.16 | low 216.21@09:36 (-0.46 ADR, undercut PDL 216.81) | higher low 218.81@14:30 | stop 216.21 (1.5%) | +0.7 ADR vs 21 EMA | vol pace 0.7x | RS vs SPY +1.3% | vs semis +0.4% | SPY > VWAP (+0.05%) | day LONG: near the rising 21 EMA (+0.4 ADR), 1.7 ADR to the prior high 227.92 | daily: RS20 vs SPY +0.0pp | grade C: UR after 12:00 | industry: semis: SMH +0.4% <VWAP (daily SHORT), peers 6/11 green, avg +0.5%
