snapshot,rank,ticker,price,ivp_1y,iv_rv,opt_volume,ic_ret,ic_win,straddle_ret,straddle_win,strangle_ret,strangle_win,fly_ret,fly_win
2026-09-14,21,UNG,10.34,18%,1.38,35.62K,1.3%,71.5%,13.6%,63.5%,18.5%,72.5%,4.4%,62%
2026-09-14,22,RSP,215.13,17%,1.36,11.47K,1.3%,65.2%,5%,56.1%,23.4%,69.2%,0.1%,55.6%
2026-09-14,23,SILJ,29.52,8%,1.13,40.25K,1.3%,67.3%,3.1%,54.5%,22.2%,70.3%,0%,52.5%
2026-09-14,24,XLF,56.91,46%,1.27,142.61K,0.7%,69.3%,3.7%,59.4%,19.1%,72.3%,-0.5%,55%
2026-09-14,25,BOIL,19.95,21%,1.45,13.06K,0.6%,65.6%,8.1%,58.8%,10.9%,67.4%,2.6%,57.5%
2026-09-14,26,XLB,50.52,33%,1.13,20.47K,0.2%,68.1%,-1.2%,57.4%,15.1%,72.5%,-2.5%,51.5%
2026-09-14,27,TQQQ,70.09,27%,1.54,257K,-0.1%,69.3%,3.3%,59.4%,7.7%,72.8%,-0.1%,55.5%
2026-09-14,28,SPXS,25.23,37%,1.87,12.56K,-0.3%,65.1%,4.8%,54.5%,17.8%,68.3%,-0.7%,51.3%
2026-09-14,29,KRE,74.23,10%,1.28,63.18K,-1.2%,66.8%,-6.1%,58.9%,-4.6%,68.3%,-3.2%,55%
2026-09-14,30,SLV,57.52,33%,1.2,396.96K,-1.3%,66.3%,-7.3%,54%,-1.7%,67.3%,-3.1%,52%
2026-09-14,31,XLI,169.86,46%,1.28,22.16K,-1.3%,65%,2.3%,53.2%,6.7%,67.5%,-1.1%,52.2%
2026-09-14,32,XLK,185.44,43%,1.39,25.79K,-1.8%,66.8%,1.1%,58.4%,-0.4%,68.3%,-1%,56.9%
2026-09-14,33,ARKK,84.73,13%,1.07,41.45K,-1.9%,65.4%,1.1%,58.4%,3.8%,65.8%,-1.3%,54.5%
2026-09-14,34,URA,42.28,10%,1.06,15.56K,-1.9%,68.8%,-1.6%,59.4%,0.6%,70.3%,-2%,58.4%
2026-09-14,35,BITO,10.66,22%,1,16.05K,-2.3%,73.7%,10.9%,67.8%,15.6%,75.6%,3.6%,65.4%
2026-09-14,36,IHI,51.77,64%,1,22.01K,-2.9%,68.6%,-0.2%,60%,5%,68.6%,-3.3%,60%
2026-09-14,37,METU,26.45,79%,1.02,10.27K,-2.9%,60%,1.6%,56%,7.7%,66%,-2.2%,56%
2026-09-14,38,TNA,64.63,14%,1.5,14.14K,-3%,64.9%,1.5%,56.9%,7.1%,66.8%,-3.2%,53%
2026-09-14,39,SOXS,50.48,37%,1.27,32.42K,-3.6%,58.8%,-3.9%,52.1%,-16.8%,59.4%,-2.5%,51.5%
2026-09-14,40,KORU,19.48,47%,1.25,32.11K,-3.8%,65%,-15.4%,35%,-8.7%,70%,-9.4%,35%
2026-09-14,41,GDX,94.58,49%,1.06,187.68K,-3.8%,58.9%,-8%,49.5%,-7%,62.9%,-5.6%,48%
2026-09-14,42,GLD,395.00,65%,1.1,518.35K,-4.3%,64.9%,-6.8%,54%,-9.8%,64.9%,-4.9%,51.5%
2026-09-14,43,BNO,61.41,63%,1.69,21.72K,-5.1%,62.9%,-24.7%,57.1%,-57.5%,62.9%,-4.4%,54.3%
2026-09-14,44,IGV,106.77,46%,1,58.89K,-5.2%,67%,-6.8%,59.3%,-11.2%,67.8%,-5.7%,55.9%
2026-09-14,45,SOXX,501.91,40%,1.18,42.23K,-5.3%,67.4%,-8.8%,60.2%,-26.4%,68.4%,-4.4%,56.1%
2026-09-14,46,COPX,86.02,36%,1.28,19.09K,-5.9%,62.1%,-10.9%,53.5%,-13.2%,62.1%,-7.9%,50%
2026-09-14,47,SMH,545.72,23%,1.2,197.89K,-5.9%,63.9%,-4.6%,55.5%,-18.9%,65.4%,-3.1%,55%
2026-09-14,48,SOXL,104.52,38%,1.16,288.04K,-6.9%,62.4%,-16.8%,54%,-35.7%,64.9%,-7.4%,52%
2026-09-14,49,ETHA,19.20,29%,1.05,244.5K,-7.7%,63.3%,-11%,60%,-27.1%,65%,-6.3%,58.3%
2026-09-14,50,JETS,28.27,46%,1.48,13.35K,-11.9%,58.9%,-13.9%,50.7%,-27.5%,59.6%,-10.2%,49.3%
2026-09-14,51,EWY,178.78,46%,1.28,77.52K,-19.2%,50%,-35%,43.6%,-76.1%,51.3%,-20%,42.3%
