strike,expiration,open_1_8,delta_eod_1_8,close_1_19,profit,return_pct
447.5,2024-01-19,70.8,0.9849,147.41,7661.0,108.2
450.0,2024-01-19,50.86,0.9825,144.91,9405.0,184.9
455.0,2024-01-19,42.21,0.9769,139.91,9770.0,231.5
457.5,2024-01-19,56.53,0.9735,137.41,8088.0,143.1
460.0,2024-01-19,38.82,0.9698,134.91,9609.0,247.5
462.5,2024-01-19,49.45,0.9656,132.41,8296.0,167.8
465.0,2024-01-19,33.15,0.9612,129.91,9676.0,291.9
467.5,2024-01-19,38.23,0.9558,127.41,8918.0,233.3
470.0,2024-01-19,28.99,0.9501,124.91,9592.0,330.9
472.5,2024-01-19,26.97,0.9436,122.41,9544.0,353.9
475.0,2024-01-19,24.74,0.9361,119.91,9517.0,384.7
477.5,2024-01-19,26.0,0.9277,117.41,9141.0,351.6
480.0,2024-01-19,21.25,0.918,114.91,9366.0,440.8
482.5,2024-01-19,21.8,0.9069,112.41,9061.0,415.6
485.0,2024-01-19,17.66,0.8941,109.91,9225.0,522.4
487.5,2024-01-19,16.08,0.8798,107.41,9133.0,568.0
490.0,2024-01-19,14.4,0.8631,104.91,9051.0,628.5
492.5,2024-01-19,12.95,0.8443,102.41,8946.0,690.8
495.0,2024-01-19,11.75,0.8234,99.91,8816.0,750.3
497.5,2024-01-19,10.35,0.8002,97.41,8706.0,841.2
500.0,2024-01-19,9.3,0.7751,94.91,8561.0,920.5
502.5,2024-01-19,8.32,0.7479,92.41,8409.0,1010.7
505.0,2024-01-19,7.3,0.7188,89.91,8261.0,1131.6
507.5,2024-01-19,6.48,0.6882,87.41,8093.0,1248.9
510.0,2024-01-19,5.7,0.6565,84.91,7921.0,1389.6
512.5,2024-01-19,4.9,0.6238,82.41,7751.0,1581.8
515.0,2024-01-19,4.32,0.5906,79.91,7559.0,1749.8
517.5,2024-01-19,3.78,0.5568,77.41,7363.0,1947.9
520.0,2024-01-19,3.3,0.5229,74.91,7161.0,2170.0
522.5,2024-01-19,2.74,0.4888,72.41,6967.0,2542.7
525.0,2024-01-19,2.41,0.455,69.91,6750.0,2800.8
527.5,2024-01-19,1.99,0.4215,67.41,6542.0,3287.4
530.0,2024-01-19,1.78,0.3886,64.91,6313.0,3546.6
532.5,2024-01-19,1.46,0.3565,62.41,6095.0,4174.7
535.0,2024-01-19,1.29,0.3256,59.91,5862.0,4544.2
537.5,2024-01-19,1.11,0.2959,57.41,5630.0,5072.1
540.0,2024-01-19,0.98,0.268,54.91,5393.0,5503.1
542.5,2024-01-19,0.84,0.2422,52.41,5157.0,6139.3
545.0,2024-01-19,0.83,0.2183,49.91,4908.0,5913.3
547.5,2024-01-19,1.2,0.1964,47.41,4621.0,3850.8
550.0,2024-01-19,0.51,0.1764,44.91,4440.0,8705.9
552.5,2024-01-19,0.44,0.1589,42.41,4197.0,9538.6
555.0,2024-01-19,0.56,0.1432,39.91,3935.0,7026.8
557.5,2024-01-19,0.57,0.1287,37.41,3684.0,6463.2
560.0,2024-01-19,0.42,0.1166,34.91,3449.0,8211.9
562.5,2024-01-19,0.28,0.1055,32.41,3213.0,11475.0
565.0,2024-01-19,0.4,0.0957,29.91,2951.0,7377.5
567.5,2024-01-19,0.23,0.0869,27.41,2718.0,11817.4
570.0,2024-01-19,0.2,0.079,24.91,2471.0,12355.0
572.5,2024-01-19,0.34,0.0721,22.41,2207.0,6491.2
575.0,2024-01-19,0.15,0.0659,19.91,1976.0,13173.3
577.5,2024-01-19,0.21,0.0599,17.41,1720.0,8190.5
580.0,2024-01-19,0.21,0.0548,14.91,1470.0,7000.0
582.5,2024-01-19,0.32,0.05,12.41,1209.0,3778.1
585.0,2024-01-19,0.24,0.0458,9.91,967.0,4029.2
587.5,2024-01-19,0.16,0.0416,7.41,725.0,4531.2
590.0,2024-01-19,0.08,0.0381,4.91,483.0,6037.5
592.5,2024-01-19,0.38,0.0348,2.41,203.0,534.2
595.0,2024-01-19,0.1,0.0317,0.0,-10.0,-100.0
597.5,2024-01-19,0.22,0.0289,0.0,-22.0,-100.0
600.0,2024-01-19,0.06,0.0261,0.0,-6.0,-100.0
605.0,2024-01-19,0.08,0.0216,0.0,-8.0,-100.0
610.0,2024-01-19,0.11,0.018,0.0,-11.0,-100.0
615.0,2024-01-19,0.11,0.0146,0.0,-11.0,-100.0
620.0,2024-01-19,0.05,0.0118,0.0,-5.0,-100.0
625.0,2024-01-19,0.06,0.0096,0.0,-6.0,-100.0
630.0,2024-01-19,0.07,0.0073,0.0,-7.0,-100.0
635.0,2024-01-19,0.04,0.0054,0.0,-4.0,-100.0
640.0,2024-01-19,0.04,0.004,0.0,-4.0,-100.0
645.0,2024-01-19,0.03,0.0029,0.0,-3.0,-100.0
650.0,2024-01-19,0.02,0.0021,0.0,-2.0,-100.0
655.0,2024-01-19,0.02,0.0015,0.0,-2.0,-100.0
660.0,2024-01-19,0.02,0.0011,0.0,-2.0,-100.0
665.0,2024-01-19,0.03,0.0008,0.0,-3.0,-100.0
670.0,2024-01-19,0.02,0.0006,0.0,-2.0,-100.0
675.0,2024-01-19,0.02,0.0004,0.0,-2.0,-100.0
680.0,2024-01-19,0.02,0.0003,0.0,-2.0,-100.0
685.0,2024-01-19,0.01,0.0002,0.0,-1.0,-100.0
690.0,2024-01-19,0.02,0.0001,0.0,-2.0,-100.0
695.0,2024-01-19,0.01,0.0001,0.0,-1.0,-100.0
700.0,2024-01-19,0.01,0.0001,0.0,-1.0,-100.0
705.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
710.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
715.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
720.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
730.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
760.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
950.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
1000.0,2024-01-19,0.01,0.0,0.0,-1.0,-100.0
