row_id,arm,episode_idx,ticker,signal_date,entry_date,resistance,entry_date_leap,expiry,ticker_leap,strike,delta,entry_mid,bid,ask,open_interest,dte
20,A,11,ABT,2015-05-22,2015-05-22,54.24,2015-05-22,2016-01-15,ABT,50.0,0.4532,2.19,2.16,2.22,3860,238
21,A,12,GE,2015-06-01,2015-06-01,137.25796,2015-06-01,2016-01-15,GE,28.0,0.3858,0.865,0.85,0.88,4890,228
22,B,12,GE,2015-06-01,2015-10-16,137.25796,2015-10-16,2016-06-17,GE,30.0,0.3712,1.035,0.97,1.1,2467,245
23,A,13,AMGN,2016-07-11,2016-07-11,181.81,,,,,,,,,,
24,B,13,AMGN,2016-07-11,2017-03-15,181.81,2017-03-15,2018-01-19,AMGN,195.0,0.4202,10.225,10.05,10.4,880,310
25,A,14,INTC,2016-07-18,2016-07-18,37.9,2016-07-18,2017-06-16,INTC,37.0,0.3867,1.66,1.64,1.68,2415,333
26,B,14,INTC,2016-07-18,2016-10-05,37.9,2016-10-05,2017-07-21,INTC,40.0,0.4,1.915,1.88,1.95,136,289
27,A,15,ABBV,2016-07-27,2016-07-27,71.6,2016-07-27,2017-02-17,ABBV,67.5,0.4146,3.14,2.83,3.45,164,205
28,A,16,BLK,2016-08-01,2016-08-01,382.84,,,,,,,,,,
29,B,16,BLK,2016-08-01,2016-12-08,382.84,2016-12-08,2018-01-19,BLK,420.0,0.3998,22.6,20.5,24.7,2,407
30,A,17,CSCO,2016-08-29,2016-08-29,31.7,2016-08-29,2017-04-21,CSCO,33.0,0.3635,1.15,1.11,1.19,1928,235
31,B,17,CSCO,2016-08-29,2016-09-30,31.7,2016-09-30,2017-06-16,CSCO,33.0,0.3939,1.315,1.3,1.33,69,259
32,A,18,INTC,2016-11-30,2016-11-30,38.36,2016-11-30,2018-01-19,INTC,37.0,0.4222,2.24,2.22,2.26,6292,415
33,A,19,BA,2016-12-29,2016-12-29,160.07,2016-12-29,2018-01-19,BA,165.0,0.415,9.4,9.3,9.5,707,386
34,B,19,BA,2016-12-29,2017-01-24,160.07,2017-01-24,2017-08-18,BA,165.0,0.404,6.425,6.25,6.6,142,206
35,A,20,XLV,2017-01-06,2017-01-06,77.4,2017-01-06,2018-01-19,XLV,75.0,0.3957,2.985,2.97,3.0,1883,378
36,B,20,XLV,2017-01-06,2017-06-09,77.4,2017-06-09,2018-01-19,XLV,79.0,0.4172,2.115,2.05,2.18,217,224
37,A,21,AAPL,2017-01-13,2017-01-13,33.635,2017-01-13,2018-01-19,AAPL,130.0,0.3827,6.325,6.25,6.4,58317,371
38,B,21,AAPL,2017-01-13,2017-02-14,33.635,2017-02-14,2018-01-19,AAPL,145.0,0.4087,7.35,7.3,7.4,15466,339
39,A,22,DIS,2017-01-30,2017-01-30,122.08,2017-01-30,2018-01-19,DIS,120.0,0.366,4.5,4.45,4.55,4180,354
40,A,23,AMGN,2017-02-13,2017-02-13,181.81,2017-02-13,2018-01-19,AMGN,180.0,0.3996,9.2,9.05,9.35,1286,340
41,B,23,AMGN,2017-02-13,2017-03-15,181.81,2017-03-15,2018-01-19,AMGN,195.0,0.4202,10.225,10.05,10.4,880,310
42,A,24,ABBV,2017-03-09,2017-03-09,71.6,2017-03-09,2018-01-19,ABBV,67.5,0.4079,3.475,3.4,3.55,2566,316
43,B,24,ABBV,2017-03-09,2017-06-22,71.6,2017-06-22,2018-01-19,ABBV,75.0,0.4197,2.77,2.69,2.85,3833,211
44,A,25,LLY,2017-03-14,2017-03-14,92.85,2017-03-14,2018-01-19,LLY,90.0,0.3825,3.625,3.25,4.0,1077,311
45,A,26,CAT,2017-06-01,2017-06-01,111.46,2017-06-01,2018-01-19,CAT,110.0,0.4217,5.125,5.05,5.2,2761,232
46,B,26,CAT,2017-06-01,2017-07-25,111.46,2017-07-25,2018-02-16,CAT,120.0,0.4004,4.725,4.65,4.8,45,206
47,A,27,LLY,2017-06-22,2017-06-22,92.85,2017-06-22,2018-01-19,LLY,87.5,0.4077,2.93,2.76,3.1,1061,211
48,A,28,MPC,2017-07-21,2017-07-21,60.38,,,,,,,,,,
49,B,28,MPC,2017-07-21,2017-11-01,60.38,2017-11-01,2019-01-18,MPC,67.5,0.395,3.675,2.95,4.4,0,443
50,A,29,DIS,2017-07-28,2017-07-28,122.08,2017-07-28,2018-09-21,DIS,120.0,0.3671,4.475,4.3,4.65,48,420
51,A,30,AMGN,2017-08-04,2017-08-04,184.21,2017-08-04,2018-09-21,AMGN,185.0,0.4043,9.075,8.75,9.4,16,413
52,B,30,AMGN,2017-08-04,2017-09-11,184.21,2017-09-11,2018-09-21,AMGN,200.0,0.402,9.8,8.95,10.65,25,375
53,A,31,AXP,2017-09-18,2017-09-18,96.24,2017-09-18,2018-06-15,AXP,92.5,0.405,3.65,3.6,3.7,31,270
54,B,31,AXP,2017-09-18,2017-11-29,96.24,2017-11-29,2019-01-18,AXP,105.0,0.4146,5.5,5.35,5.65,750,415
55,A,32,LLY,2017-10-16,2017-10-16,92.85,2017-10-16,2018-06-15,LLY,90.0,0.3799,2.875,2.65,3.1,850,242
56,A,33,NEM,2018-05-08,2018-05-08,46.07,2018-05-08,2019-01-18,NEM,44.0,0.3944,2.17,2.16,2.18,55,255
57,A,34,COP,2018-09-14,2018-09-14,81.88,2018-09-14,2019-06-21,COP,80.0,0.4086,3.95,3.9,4.0,219,280
58,A,35,CVX,2018-10-05,2018-10-05,133.88,2018-10-05,2019-06-21,CVX,130.0,0.4306,5.675,5.6,5.75,775,259
59,A,36,CVX,2019-07-11,2019-07-11,133.88,2019-07-11,2020-06-19,CVX,130.0,0.4259,6.275,6.2,6.35,247,344
60,A,37,BAC,2019-07-18,2019-07-18,33.05,2019-07-18,2020-06-19,BAC,32.0,0.3957,1.545,1.52,1.57,7686,337
61,B,37,BAC,2019-07-18,2019-11-07,33.05,2019-11-07,2021-01-15,BAC,37.0,0.3887,2.18,2.14,2.22,17364,435
62,A,38,XLF,2019-07-18,2019-07-18,30.3255,2019-07-18,2020-06-30,XLF,30.0,0.3725,1.005,0.98,1.03,0,348
63,B,38,XLF,2019-07-18,2019-12-12,30.3255,2019-12-12,2020-06-30,XLF,32.0,0.3925,0.965,0.94,0.99,1144,201
64,A,39,BAC,2019-11-08,2019-11-08,33.6,2019-11-08,2021-01-15,BAC,37.0,0.3924,2.22,2.19,2.25,18112,434
65,B,39,BAC,2019-11-08,2019-12-06,33.6,2019-12-06,2021-01-15,BAC,37.0,0.4079,2.28,2.26,2.3,25518,406
66,A,40,C,2019-11-22,2019-11-22,80.7,2019-11-22,2021-01-15,C,82.5,0.3964,5.15,5.05,5.25,723,420
67,B,40,C,2019-11-22,2020-01-02,80.7,2020-01-02,2021-01-15,C,87.5,0.4036,4.85,4.75,4.95,150,379
68,A,41,NEM,2019-12-16,2019-12-16,46.07,2019-12-16,2021-01-15,NEM,44.12,0.4609,3.425,3.35,3.5,7322,396
69,B,41,NEM,2019-12-16,2020-02-19,46.07,2020-02-19,2020-09-18,NEM,49.0,0.4042,2.255,2.22,2.29,62,212
70,A,42,INTC,2019-12-31,2019-12-31,60.48,2019-12-31,2021-01-15,INTC,65.0,0.4154,4.075,4.05,4.1,11080,381
71,B,42,INTC,2019-12-31,2020-01-21,60.48,2020-01-21,2020-09-18,INTC,65.0,0.3903,2.955,2.93,2.98,8566,241
72,A,43,MS,2020-01-15,2020-01-15,59.38,2020-01-15,2021-01-15,MS,57.5,0.3805,2.97,2.89,3.05,706,366
73,A,44,META,2020-01-27,2020-01-27,222.75,,,,,,,,,,
74,B,44,META,2020-01-27,2020-01-29,222.75,,,,,,,,,,
75,A,45,CSCO,2021-04-16,2021-04-16,58.26,2021-04-16,2022-01-21,CSCO,55.0,0.4386,3.15,3.1,3.2,15421,280
76,B,45,CSCO,2021-04-16,2021-08-23,58.26,2021-08-23,2022-04-14,CSCO,62.5,0.3578,2.31,2.14,2.48,2,234
77,A,46,ABBV,2021-05-04,2021-05-04,125.86,2021-05-04,2022-06-17,ABBV,120.0,0.4055,7.225,7.05,7.4,1663,409
78,B,46,ABBV,2021-05-04,2021-12-13,125.86,2021-12-13,2023-01-20,ABBV,135.0,0.3932,8.35,8.15,8.55,1741,403
79,A,47,C,2021-05-28,2021-05-28,83.11,2021-05-28,2022-01-21,C,85.0,0.3878,4.2,4.15,4.25,4917,238
80,A,48,ABBV,2021-10-29,2021-10-29,125.86,2021-10-29,2022-06-17,ABBV,120.0,0.3974,5.3,5.2,5.4,2949,231
81,B,48,ABBV,2021-10-29,2021-12-13,125.86,2021-12-13,2023-01-20,ABBV,135.0,0.3932,8.35,8.15,8.55,1741,403
82,A,49,COP,2021-11-03,2021-11-03,80.24,2021-11-03,2023-01-20,COP,85.0,0.3901,6.175,6.05,6.3,811,443
83,B,49,COP,2021-11-03,2022-01-07,80.24,2022-01-07,2023-01-20,COP,90.0,0.4099,6.725,6.65,6.8,3848,378
84,A,50,MPC,2022-01-14,2022-01-14,88.45,2022-01-14,2023-01-20,MPC,85.0,0.3805,5.4,5.25,5.55,182,371
85,B,50,MPC,2022-01-14,2022-05-09,88.45,2022-05-09,2023-01-20,MPC,100.0,0.4288,7.45,7.25,7.65,1944,256
86,A,51,MPC,2022-04-20,2022-04-20,91.875,2022-04-20,2023-01-20,MPC,100.0,0.401,6.45,6.3,6.6,1572,275
87,B,51,MPC,2022-04-20,2022-05-11,91.875,2022-05-11,2023-01-20,MPC,105.0,0.3918,6.675,6.55,6.8,586,254
88,A,52,OXY,2022-10-25,2022-10-25,83.35,2022-10-25,2023-05-19,OXY,85.0,0.4089,6.575,6.5,6.65,185,206
89,A,53,PSX,2022-11-29,2022-11-29,119.92,2022-11-29,2024-01-19,PSX,130.0,0.4045,10.15,9.9,10.4,269,416
90,A,54,CAT,2022-12-14,2022-12-14,246.69,2022-12-14,2024-01-19,CAT,270.0,0.4127,19.725,19.25,20.2,445,401
91,B,54,CAT,2022-12-14,2023-01-06,246.69,2023-01-06,2024-01-19,CAT,290.0,0.389,18.575,18.35,18.8,351,378
92,A,55,MA,2023-01-13,2023-01-13,401.5,2023-01-13,2023-09-15,MA,420.0,0.4018,20.175,19.75,20.6,185,245
93,B,55,MA,2023-01-13,2023-07-24,401.5,2023-07-24,2024-06-21,MA,450.0,0.4132,20.5,20.35,20.65,269,333
94,A,56,MS,2023-02-13,2023-02-13,109.73,2023-02-13,2024-01-19,MS,110.0,0.408,6.65,6.6,6.7,5211,340
95,A,57,V,2023-02-13,2023-02-13,252.67,2023-02-13,2024-01-19,V,260.0,0.3892,11.375,11.2,11.55,4972,340
96,A,58,XLI,2023-03-07,2023-03-07,107.88,2023-03-07,2024-01-19,XLI,111.0,0.4009,4.475,4.4,4.55,250,318
97,B,58,XLI,2023-03-07,2023-07-12,107.88,2023-07-12,2024-06-21,XLI,118.0,0.402,4.35,4.25,4.45,0,345
98,A,59,XLV,2023-04-12,2023-04-12,143.42,2023-04-12,2024-01-19,XLV,143.0,0.3948,4.475,4.35,4.6,302,282
99,A,60,V,2023-04-19,2023-04-19,252.67,2023-04-19,2024-06-21,V,265.0,0.3993,13.95,13.75,14.15,280,429
100,B,60,V,2023-04-19,2023-11-30,252.67,2023-11-30,2025-01-17,V,290.0,0.4021,13.875,13.35,14.4,181,414
101,A,61,MSFT,2023-05-17,2023-05-17,349.67,2023-05-17,2024-01-19,MSFT,345.0,0.4089,16.2,16.1,16.3,3128,247
102,B,61,MSFT,2023-05-17,2023-07-18,349.67,2023-07-18,2024-09-20,MSFT,425.0,0.3991,24.95,24.55,25.35,2,430
103,A,62,NVDA,2023-05-24,2023-05-24,34.647,2023-05-24,2024-03-15,NVDA,380.0,0.3991,27.575,25.3,29.85,1307,296
104,B,62,NVDA,2023-05-24,2023-05-25,34.647,2023-05-25,2024-03-15,NVDA,485.0,0.3996,36.6,36.1,37.1,26,295
105,A,63,XLK,2023-06-08,2023-06-08,88.52,2023-06-08,2024-06-21,XLK,185.0,0.3867,8.225,7.85,8.6,30,379
106,B,63,XLK,2023-06-08,2023-07-18,88.52,2023-07-18,2024-06-21,XLK,200.0,0.4048,8.35,8.15,8.55,163,339
107,A,64,AAPL,2023-06-15,2023-06-15,186.52,2023-06-15,2024-03-15,AAPL,205.0,0.4052,8.575,8.5,8.65,2372,274
108,B,64,AAPL,2023-06-15,2023-06-30,186.52,2023-06-30,2024-09-20,AAPL,225.0,0.3985,10.875,10.25,11.5,650,448
109,A,65,TXN,2023-07-17,2023-07-17,202.26,2023-07-17,2024-06-21,TXN,200.0,0.4174,11.375,11.0,11.75,1172,340
110,A,66,PSX,2023-07-21,2023-07-21,119.92,2023-07-21,2024-02-16,PSX,115.0,0.3785,5.2,5.1,5.3,115,210
111,B,66,PSX,2023-07-21,2023-09-08,119.92,2023-09-08,2024-06-21,PSX,135.0,0.3992,7.4,7.3,7.5,39,287
112,A,67,JPM,2023-07-24,2023-07-24,172.96,2023-07-24,2024-03-15,JPM,170.0,0.3934,6.175,6.1,6.25,1485,235
113,B,67,JPM,2023-07-24,2024-01-30,172.96,2024-01-30,2024-10-18,JPM,190.0,0.4107,7.35,7.3,7.4,75,262
114,A,68,MS,2023-07-24,2023-07-24,109.73,2023-07-24,2024-09-20,MS,105.0,0.3847,5.575,5.5,5.65,57,424
115,A,69,MSFT,2023-09-05,2023-09-05,366.78,2023-09-05,2024-04-19,MSFT,370.0,0.395,16.425,16.35,16.5,114,227
116,B,69,MSFT,2023-09-05,2023-11-10,366.78,2023-11-10,2024-06-21,MSFT,405.0,0.4008,17.35,17.25,17.45,1128,224
117,A,70,GOOGL,2023-09-12,2023-09-12,151.54658,2023-09-12,2024-09-20,GOOGL,160.0,0.4063,9.7,9.6,9.8,5505,374
118,B,70,GOOGL,2023-09-12,2024-01-25,151.54658,2024-01-25,2025-01-17,GOOGL,175.0,0.4055,9.75,9.7,9.8,2975,358
119,A,71,V,2023-09-26,2023-09-26,252.67,2023-09-26,2024-06-21,V,260.0,0.357,9.15,9.05,9.25,1138,269
120,B,71,V,2023-09-26,2023-11-30,252.67,2023-11-30,2025-01-17,V,290.0,0.4021,13.875,13.35,14.4,181,414
121,A,72,UNH,2023-10-10,2023-10-10,558.1,2023-10-10,2024-06-21,UNH,570.0,0.4165,25.45,24.9,26.0,519,255
122,A,73,DE,2023-11-03,2023-11-03,450.0,2023-11-03,2024-09-20,DE,440.0,0.3956,23.575,22.9,24.25,9,322
123,A,74,META,2023-11-16,2023-11-16,384.33,2023-11-16,2024-09-20,META,400.0,0.3987,25.225,25.05,25.4,1821,309
124,B,74,META,2023-11-16,2024-01-29,384.33,2024-01-29,2024-08-16,META,455.0,0.3977,24.575,24.45,24.7,5,200
125,A,75,XLK,2023-11-21,2023-11-21,92.965,2023-11-21,2025-01-17,XLK,210.0,0.3882,8.775,8.4,9.15,401,423
126,B,75,XLK,2023-11-21,2023-12-11,92.965,2023-12-11,2024-09-20,XLK,205.0,0.3973,7.75,7.6,7.9,44,284
127,A,76,ADBE,2023-11-29,2023-11-29,699.54,2023-11-29,2024-09-20,ADBE,720.0,0.404,42.625,41.35,43.9,58,296
128,A,77,JPM,2023-11-29,2023-11-29,172.96,2023-11-29,2025-01-17,JPM,170.0,0.4127,9.175,9.1,9.25,1974,415
129,B,77,JPM,2023-11-29,2024-01-30,172.96,2024-01-30,2024-10-18,JPM,190.0,0.4107,7.35,7.3,7.4,75,262
130,A,78,XLV,2023-11-29,2023-11-29,143.42,2023-11-29,2025-01-17,XLV,140.0,0.4047,4.775,4.65,4.9,1155,415
131,B,78,XLV,2023-11-29,2024-02-06,143.42,2024-02-06,2025-01-17,XLV,155.0,0.3938,4.3,4.2,4.4,699,346
132,A,79,COST,2023-12-06,2023-12-06,612.27,2023-12-06,2024-09-20,COST,670.0,0.3988,26.275,25.4,27.15,8,289
133,B,79,COST,2023-12-06,2023-12-11,612.27,2023-12-11,2024-07-19,COST,675.0,0.3966,23.1,22.35,23.85,1,221
134,A,80,XLE,2023-12-06,2023-12-06,47.355,2023-12-06,2025-01-17,XLE,90.0,0.3979,5.15,5.1,5.2,5201,408
135,B,80,XLE,2023-12-06,2024-04-01,47.355,2024-04-01,2025-03-31,XLE,105.0,0.3928,4.975,4.8,5.15,0,364
136,A,81,XLF,2023-12-13,2023-12-13,41.6975,2023-12-13,2024-09-30,XLF,40.0,0.3843,1.24,1.15,1.33,47,292
137,B,81,XLF,2023-12-13,2024-03-21,41.6975,2024-03-21,2025-03-21,XLF,46.0,0.4033,1.67,1.62,1.72,0,365
138,A,82,ABBV,2023-12-15,2023-12-15,175.91,2023-12-15,2025-01-17,ABBV,165.0,0.4135,8.75,8.6,8.9,1009,399
139,B,82,ABBV,2023-12-15,2024-02-16,175.91,2024-02-16,2024-11-15,ABBV,190.0,0.3968,7.675,7.55,7.8,77,273
140,A,83,AXP,2023-12-28,2023-12-28,199.55,2023-12-28,2024-09-20,AXP,210.0,0.3771,9.025,8.95,9.1,32,267
141,B,83,AXP,2023-12-28,2024-01-26,199.55,2024-01-26,2025-01-17,AXP,230.0,0.3949,10.8,10.6,11.0,938,357
142,A,84,FCX,2023-12-28,2023-12-28,51.99,2023-12-28,2024-08-16,FCX,49.0,0.3955,2.885,2.86,2.91,2,232
143,B,84,FCX,2023-12-28,2024-04-29,51.99,2024-04-29,2025-06-20,FCX,65.0,0.3921,4.4,3.8,5.0,2523,417
144,A,85,GS,2023-12-28,2023-12-28,426.1582,2023-12-28,2024-07-19,GS,415.0,0.4007,16.8,16.65,16.95,4,204
145,B,85,GS,2023-12-28,2024-04-29,426.1582,2024-04-29,2025-01-17,GS,470.0,0.4029,22.325,22.1,22.55,304,263
146,A,86,MS,2023-12-28,2023-12-28,109.73,2023-12-28,2024-07-19,MS,100.0,0.4045,4.35,4.3,4.4,261,204
147,A,87,HD,2024-03-12,2024-03-12,420.61,2024-03-12,2025-01-17,HD,410.0,0.4053,18.275,18.0,18.55,635,311
148,B,87,HD,2024-03-12,2024-11-25,420.61,2024-11-25,2026-01-16,HD,480.0,0.3913,24.125,23.75,24.5,261,417
149,A,88,TMO,2024-03-12,2024-03-12,672.34,2024-03-12,2025-01-17,TMO,670.0,0.392,30.05,29.3,30.8,83,311
150,A,89,OXY,2024-03-19,2024-03-19,77.1299,2024-03-19,2024-11-15,OXY,70.0,0.4164,3.4,3.35,3.45,55,241
151,A,90,XLV,2024-03-19,2024-03-19,148.2701,2024-03-19,2024-11-15,XLV,155.0,0.3821,3.575,3.5,3.65,164,241
152,B,90,XLV,2024-03-19,2024-07-16,148.2701,2024-07-16,2025-06-20,XLV,160.0,0.4122,4.925,4.8,5.05,218,339
153,A,91,EOG,2024-03-25,2024-03-25,150.88,2024-03-25,2024-12-20,EOG,140.0,0.393,6.95,6.8,7.1,33,270
154,A,92,AMZN,2024-03-26,2024-03-26,188.65391,2024-03-26,2024-12-20,AMZN,205.0,0.4041,11.475,11.4,11.55,2094,269
155,B,92,AMZN,2024-03-26,2024-04-11,188.65391,2024-04-11,2025-03-21,AMZN,225.0,0.3954,13.025,12.95,13.1,874,344
156,A,93,RTX,2024-03-26,2024-03-26,108.84,2024-03-26,2025-01-17,RTX,105.0,0.3913,4.35,4.25,4.45,6310,297
157,B,93,RTX,2024-03-26,2024-07-25,108.84,2024-07-25,2025-06-20,RTX,125.0,0.3932,5.725,5.55,5.9,178,330
158,A,94,WFC,2024-03-26,2024-03-26,60.3,2024-03-26,2024-12-20,WFC,62.5,0.3978,3.125,3.1,3.15,425,269
159,B,94,WFC,2024-03-26,2024-04-19,60.3,2024-04-19,2025-03-21,WFC,67.5,0.4032,3.925,3.85,4.0,58,336
160,A,95,CVX,2024-04-10,2024-04-10,189.68,2024-04-10,2025-01-17,CVX,175.0,0.3934,7.875,7.8,7.95,3761,282
161,A,96,MS,2024-05-08,2024-05-08,109.73,2024-05-08,2025-01-17,MS,105.0,0.4026,4.95,4.9,5.0,5345,254
162,B,96,MS,2024-05-08,2024-10-11,109.73,2024-10-11,2025-07-18,MS,120.0,0.3983,6.15,6.0,6.3,168,280
163,A,97,COP,2024-05-15,2024-05-15,138.49,2024-05-15,2024-12-20,COP,130.0,0.4077,5.775,5.7,5.85,345,219
164,A,98,CRM,2024-05-15,2024-05-15,318.715,2024-05-15,2025-06-20,CRM,340.0,0.4145,23.675,22.9,24.45,141,401
165,B,98,CRM,2024-05-15,2024-11-08,318.715,2024-11-08,2025-08-15,CRM,370.0,0.398,21.5,21.0,22.0,87,280
166,A,99,TMO,2024-05-15,2024-05-15,672.34,2024-05-15,2025-01-17,TMO,660.0,0.3967,25.45,24.5,26.4,214,247
167,A,100,UNH,2024-05-22,2024-05-22,558.1,2024-05-22,2024-12-20,UNH,560.0,0.4086,21.775,21.3,22.25,112,212
168,B,100,UNH,2024-05-22,2024-07-17,558.1,2024-07-17,2025-03-21,UNH,620.0,0.3996,26.975,26.2,27.75,6,247
169,A,101,NFLX,2024-06-13,2024-06-13,70.09894,2024-06-13,2025-03-21,NFLX,770.0,0.3992,47.425,46.45,48.4,70,281
170,B,101,NFLX,2024-06-13,2024-09-19,70.09894,2024-09-19,2025-06-20,NFLX,820.0,0.4002,50.05,49.3,50.8,255,274
171,A,102,HON,2024-06-21,2024-06-21,223.16125,2024-06-21,2025-01-17,HON,230.0,0.3625,6.5,6.3,6.7,1928,210
172,A,103,WFC,2024-09-03,2024-09-03,62.55,2024-09-03,2025-09-19,WFC,65.0,0.4113,4.025,3.9,4.15,919,381
173,B,103,WFC,2024-09-03,2024-10-15,62.55,2024-10-15,2025-09-19,WFC,70.0,0.4078,3.975,3.9,4.05,137,339
174,A,104,NEE,2024-09-25,2024-09-25,93.73,2024-09-25,2025-06-20,NEE,92.5,0.4039,4.925,4.8,5.05,514,268
175,A,105,DE,2024-09-27,2024-09-27,450.0,2024-09-27,2025-09-19,DE,470.0,0.3891,24.175,23.7,24.65,0,357
176,B,105,DE,2024-09-27,2024-11-25,450.0,2024-11-25,2026-01-16,DE,530.0,0.4056,30.35,29.35,31.35,137,417
177,A,106,NFLX,2024-10-01,2024-10-01,72.526,2024-10-01,2025-06-20,NFLX,820.0,0.397,48.125,47.75,48.5,255,262
178,B,106,NFLX,2024-10-01,2024-10-18,72.526,2024-10-18,2025-08-15,NFLX,895.0,0.4006,53.775,53.05,54.5,0,301
179,A,107,CRM,2024-10-15,2024-10-15,318.715,2024-10-15,2025-05-16,CRM,320.0,0.4062,16.675,16.6,16.75,132,213
180,B,107,CRM,2024-10-15,2024-11-08,318.715,2024-11-08,2025-08-15,CRM,370.0,0.398,21.5,21.0,22.0,87,280
181,A,108,XLE,2024-10-22,2024-10-22,49.485,2024-10-22,2025-09-19,XLE,98.0,0.4034,4.85,4.8,4.9,2332,332
182,A,109,BAC,2024-12-04,2024-12-04,50.11,2024-12-04,2025-07-18,BAC,50.0,0.4005,2.21,2.18,2.24,990,226
183,B,109,BAC,2024-12-04,2025-08-26,50.11,2025-08-26,2026-06-18,BAC,55.0,0.3892,2.615,2.6,2.63,10669,296
184,A,110,C,2024-12-11,2024-12-11,80.29,2024-12-11,2025-07-18,C,77.5,0.4054,3.725,3.7,3.75,162,219
185,B,110,C,2024-12-11,2025-01-21,80.29,2025-01-21,2025-09-19,C,87.5,0.4159,4.5,4.45,4.55,22,241
186,A,111,EOG,2025-01-17,2025-01-17,150.88,2025-01-17,2026-01-16,EOG,153.5,0.3824,8.25,8.1,8.4,185,364
187,A,112,BAC,2025-02-11,2025-02-11,50.11,2025-02-11,2026-03-20,BAC,52.5,0.3924,2.88,2.85,2.91,55,402
188,B,112,BAC,2025-02-11,2025-08-26,50.11,2025-08-26,2026-06-18,BAC,55.0,0.3892,2.615,2.6,2.63,10669,296
189,A,113,XOM,2025-04-02,2025-04-02,126.34,2025-04-02,2026-06-18,XOM,130.0,0.4031,7.45,7.35,7.55,1021,442
190,A,114,SCHW,2025-05-22,2025-05-22,96.24,2025-05-22,2026-01-16,SCHW,97.5,0.3927,4.875,4.8,4.95,0,239
191,B,114,SCHW,2025-05-22,2025-07-21,96.24,2025-07-21,2026-09-18,SCHW,110.0,0.3967,6.15,5.95,6.35,21,424
192,A,115,BAC,2025-06-23,2025-06-23,50.11,2025-06-23,2026-01-16,BAC,50.0,0.3928,2.145,2.14,2.15,36070,207
193,B,115,BAC,2025-06-23,2025-08-26,50.11,2025-08-26,2026-06-18,BAC,55.0,0.3892,2.615,2.6,2.63,10669,296
194,A,116,XLE,2025-07-29,2025-07-29,49.485,2025-07-29,2026-03-31,XLE,94.0,0.4043,3.975,3.9,4.05,6,245
195,B,116,XLE,2025-07-29,2026-01-27,49.485,2026-01-27,2026-09-18,XLE,52.5,0.4097,2.68,2.6,2.76,3246,234
