number,ticker,cp,entry,exit,expiration,dte,hold_days,strike,open_entry,delta_entry,value_at_exit,exit_src,profit,return_pct
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,495.0,146.75,0.7022,203.18,tradier_close,5643.0,38.5
1,NVDA,C,2024-01-08,2024-01-19,2026-01-16,739,11,1000.0,27.9,0.2338,51.01,tradier_close,2311.0,82.8
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,460.0,42.6,0.9309,130.4,tradier_close,8780.0,206.1
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,670.0,0.05,0.0043,0.45,tradier_close,40.0,800.0
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,570.0,32.6,0.4546,81.25,tradier_close,4865.0,149.2
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,550.0,120.38,0.6375,175.5,tradier_close,5512.0,45.8
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,640.0,94.2,0.5352,136.46,tradier_close,4226.0,44.9
1,NVDA,C,2024-01-08,2024-01-19,2026-06-18,892,11,460.0,171.05,0.7506,235.84,tradier_close,6479.0,37.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,512.5,4.9,0.6238,81.97,tradier_close,7707.0,1572.9
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,525.0,11.49,0.5101,73.8,tradier_close,6231.0,542.3
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,660.0,0.61,0.0232,5.54,tradier_close,493.0,808.2
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,495.0,60.25,0.6578,128.75,tradier_close,6850.0,113.7
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,695.0,11.27,0.1897,30.33,tradier_close,1906.0,169.1
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,950.0,0.73,0.0221,3.7,tradier_close,297.0,406.8
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,230.0,297.33,0.9745,375.52,athena_mid,7819.5,26.3
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,90.0,422.21,1.0,503.02,athena_mid,8081.5,19.1
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,215.0,300.0,1.0,373.01,tradier_close,7301.0,24.3
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,370.0,148.37,1.0,224.47,tradier_close,7610.0,51.3
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,492.5,12.95,0.8443,99.0,tradier_close,8605.0,664.5
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,660.0,0.13,0.007,0.64,tradier_close,51.0,392.3
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,160.0,353.97,1.0,433.4,athena_mid,7943.0,22.4
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,630.0,0.23,0.0353,6.04,tradier_close,581.0,2526.1
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,990.0,0.01,0.0,0.01,tradier_close,0.0,0.0
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,505.0,32.4,0.6242,98.55,tradier_close,6615.0,204.2
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,760.0,0.75,0.024,3.91,tradier_close,316.0,421.3
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,850.0,0.17,0.0061,1.09,tradier_close,92.0,541.2
1,NVDA,C,2024-01-08,2024-01-19,2024-04-19,102,11,440.0,81.75,0.8257,161.96,tradier_close,8021.0,98.1
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,440.0,99.05,0.814,157.15,tradier_close,5810.0,58.7
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,615.0,13.4,0.2978,48.5,tradier_close,3510.0,261.9
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,140.0,380.0,0.9998,451.3,tradier_close,7130.0,18.8
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,415.0,130.95,0.8333,197.15,athena_mid,6620.0,50.6
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,210.0,317.13,0.9802,392.05,tradier_close,7492.0,23.6
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,360.0,190.14,0.8737,263.95,tradier_close,7381.0,38.8
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,990.0,8.0,0.098,16.85,tradier_close,885.0,110.6
1,NVDA,C,2024-01-08,2024-01-19,2026-01-16,739,11,395.0,204.14,0.8146,267.15,athena_mid,6301.0,30.9
1,NVDA,C,2024-01-08,2024-01-19,2026-01-16,739,11,440.0,162.3,0.7665,240.0,tradier_close,7770.0,47.9
1,NVDA,C,2024-01-08,2024-01-19,2026-01-16,739,11,850.0,49.5,0.3384,78.62,tradier_close,2912.0,58.8
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,245.0,267.2,1.0,349.55,tradier_close,8235.0,30.8
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,600.0,0.24,0.0575,9.25,tradier_close,901.0,3754.2
1,NVDA,C,2024-01-08,2024-01-19,2024-02-09,32,11,480.0,32.37,0.8044,116.58,tradier_close,8421.0,260.1
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,275.0,240.05,1.0,316.14,tradier_close,7609.0,31.7
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,410.0,106.74,0.9795,180.0,tradier_close,7326.0,68.6
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,610.0,1.14,0.0955,17.96,tradier_close,1682.0,1475.4
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,705.0,5.65,0.1242,19.9,tradier_close,1425.0,252.2
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,590.0,29.5,0.4036,71.29,tradier_close,4179.0,141.7
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,680.0,13.77,0.2139,34.2,tradier_close,2043.0,148.4
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,990.0,0.67,0.0158,2.45,tradier_close,178.0,265.7
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,340.0,181.8,0.9128,269.0,tradier_close,8720.0,48.0
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,980.0,7.05,0.0981,15.65,tradier_close,860.0,122.0
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,585.0,69.45,0.5202,114.0,tradier_close,4455.0,64.1
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,415.0,173.97,0.7951,224.15,tradier_close,5018.0,28.8
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,460.0,142.7,0.736,204.85,tradier_close,6215.0,43.6
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,670.0,66.09,0.4519,103.41,tradier_close,3732.0,56.5
1,NVDA,C,2024-01-08,2024-01-19,2026-12-18,1075,11,290.0,289.31,0.9005,357.0,athena_mid,6769.0,23.4
1,NVDA,C,2024-01-08,2024-01-19,2024-02-23,46,11,515.0,21.85,0.5757,85.15,tradier_close,6330.0,289.7
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,630.0,14.45,0.2614,42.5,tradier_close,2805.0,194.1
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,795.0,1.9,0.0444,7.65,tradier_close,575.0,302.6
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,695.0,15.15,0.2166,35.4,tradier_close,2025.0,133.7
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,660.0,44.04,0.4027,81.39,tradier_close,3735.0,84.8
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,325.0,229.14,0.8941,301.22,tradier_close,7208.0,31.5
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,580.0,89.5,0.5692,138.5,tradier_close,4900.0,54.7
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,570.0,112.6,0.6143,165.0,tradier_close,5240.0,46.5
1,NVDA,C,2024-01-08,2024-01-19,2026-12-18,1075,11,640.0,129.02,0.5972,174.75,tradier_close,4573.0,35.4
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,290.0,215.05,1.0,304.71,tradier_close,8966.0,41.7
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,610.0,0.11,0.018,0.01,tradier_close,-10.0,-90.9
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,425.0,94.25,0.9681,166.9,tradier_close,7265.0,77.1
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,495.0,18.72,0.7377,101.07,tradier_close,8235.0,439.9
1,NVDA,C,2024-01-08,2024-01-19,2024-02-23,46,11,535.0,16.25,0.4704,70.98,tradier_close,5473.0,336.8
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,520.0,59.19,0.5959,115.17,tradier_close,5598.0,94.6
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,500.0,93.0,0.6656,162.15,tradier_close,6915.0,74.4
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,325.0,242.52,0.8828,311.68,tradier_close,6916.0,28.5
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,475.0,155.9,0.7255,212.55,tradier_close,5665.0,36.3
1,NVDA,C,2024-01-08,2024-01-19,2026-01-16,739,11,515.0,139.52,0.6812,197.03,athena_mid,5750.5,41.2
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,330.0,184.46,1.0,259.84,tradier_close,7538.0,40.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,485.0,22.5,0.8323,108.1,tradier_close,8560.0,380.4
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,750.0,0.11,0.0009,0.64,tradier_close,53.0,481.8
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,715.0,1.51,0.0453,7.4,tradier_close,589.0,390.1
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,660.0,7.8,0.1975,30.95,tradier_close,2315.0,296.8
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,675.0,7.4,0.1701,27.61,tradier_close,2021.0,273.1
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,635.0,21.72,0.2998,50.4,tradier_close,2868.0,132.0
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,525.0,59.25,0.5831,111.35,tradier_close,5210.0,87.9
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,615.0,29.85,0.3643,64.18,tradier_close,3433.0,115.0
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,500.0,76.2,0.653,143.5,tradier_close,6730.0,88.3
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,930.0,3.7,0.0703,11.5,athena_mid,780.0,210.8
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,850.0,15.0,0.1858,33.9,tradier_close,1890.0,126.0
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,900.0,10.46,0.1483,26.76,tradier_close,1630.0,155.8
1,NVDA,C,2024-01-08,2024-01-19,2026-06-18,892,11,970.0,46.0,0.3049,70.81,tradier_close,2481.0,53.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,415.0,97.0,0.9905,165.06,tradier_close,6806.0,70.2
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,880.0,0.03,0.0,0.04,tradier_close,1.0,33.3
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,950.0,0.06,0.0009,0.29,tradier_close,23.0,383.3
1,NVDA,C,2024-01-08,2024-01-19,2024-04-19,102,11,495.0,43.95,0.6612,116.95,tradier_close,7300.0,166.1
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,200.0,320.97,0.9994,396.88,athena_mid,7590.5,23.6
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,320.0,188.8,0.9557,279.93,tradier_close,9113.0,48.3
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,390.0,150.3,0.8522,225.78,athena_mid,7547.5,50.2
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,300.0,235.9,0.9326,312.0,tradier_close,7610.0,32.3
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,770.0,24.0,0.2623,49.74,tradier_close,2574.0,107.2
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,800.0,17.4,0.2311,42.85,tradier_close,2545.0,146.3
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,770.0,60.0,0.4037,95.45,athena_mid,3545.0,59.1
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,135.0,380.08,1.0,456.73,tradier_close,7665.0,20.2
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,507.5,6.48,0.6882,87.5,tradier_close,8102.0,1250.3
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,390.0,123.07,0.992,201.56,tradier_close,7849.0,63.8
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,655.0,0.37,0.0271,6.25,tradier_close,588.0,1589.2
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,675.0,0.49,0.0143,3.8,tradier_close,331.0,675.5
1,NVDA,C,2024-01-08,2024-01-19,2024-04-19,102,11,645.0,8.5,0.187,29.8,tradier_close,2130.0,250.6
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,335.0,191.52,0.9441,264.23,tradier_close,7271.0,38.0
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,450.0,90.0,0.7713,165.6,tradier_close,7560.0,84.0
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,480.0,69.95,0.6976,141.75,tradier_close,7180.0,102.6
1,NVDA,C,2024-01-08,2024-01-19,2025-06-20,529,11,410.0,171.35,0.8013,239.3,athena_mid,6795.0,39.7
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,210.0,324.0,0.9611,389.9,tradier_close,6590.0,20.3
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,415.0,187.97,0.7935,252.53,athena_mid,6455.5,34.3
1,NVDA,C,2024-01-08,2024-01-19,2026-01-16,739,11,480.0,147.28,0.7215,213.4,tradier_close,6612.0,44.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,457.5,56.53,0.9735,134.18,tradier_close,7765.0,137.4
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,650.0,0.02,0.0021,0.01,tradier_close,-1.0,-50.0
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,160.0,353.82,1.0,431.45,tradier_close,7763.0,21.9
1,NVDA,C,2024-01-08,2024-01-19,2024-01-26,18,11,620.0,0.19,0.0307,3.62,tradier_close,343.0,1805.3
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,410.0,110.71,0.9815,181.27,tradier_close,7056.0,63.7
1,NVDA,C,2024-01-08,2024-01-19,2024-02-09,32,11,510.0,14.3,0.6158,86.95,tradier_close,7265.0,508.0
1,NVDA,C,2024-01-08,2024-01-19,2024-04-19,102,11,690.0,4.54,0.1118,18.0,tradier_close,1346.0,296.5
1,NVDA,C,2024-01-08,2024-01-19,2024-07-19,193,11,455.0,99.74,0.7538,164.12,athena_mid,6438.5,64.6
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,1000.0,6.2,0.0936,16.85,tradier_close,1065.0,171.8
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,700.0,74.14,0.4717,115.7,tradier_close,4156.0,56.1
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,620.0,0.05,0.0118,0.01,tradier_close,-4.0,-80.0
1,NVDA,C,2024-01-08,2024-01-19,2024-02-23,46,11,700.0,0.63,0.0357,5.9,tradier_close,527.0,836.5
1,NVDA,C,2024-01-08,2024-01-19,2024-03-15,67,11,790.0,0.43,0.0156,2.32,tradier_close,189.0,439.5
1,NVDA,C,2024-01-08,2024-01-19,2024-04-19,102,11,715.0,3.4,0.0831,13.16,tradier_close,976.0,287.1
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,600.0,16.25,0.3367,56.1,tradier_close,3985.0,245.2
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,860.0,2.0,0.047,7.9,tradier_close,590.0,295.0
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,470.0,91.42,0.7147,161.19,tradier_close,6977.0,76.3
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,490.0,96.0,0.6801,161.2,tradier_close,6520.0,67.9
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,740.0,25.93,0.2774,53.0,tradier_close,2707.0,104.4
1,NVDA,C,2024-01-08,2024-01-19,2025-01-17,375,11,230.0,299.67,0.9722,373.53,tradier_close,7386.0,24.6
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,420.0,181.35,0.788,247.0,tradier_close,6565.0,36.2
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,730.0,70.9,0.4416,107.0,athena_mid,3610.0,50.9
1,NVDA,C,2024-01-08,2024-01-19,2026-06-18,892,11,440.0,192.51,0.7705,251.93,athena_mid,5941.5,30.9
1,NVDA,C,2024-01-08,2024-01-19,2026-12-18,1075,11,700.0,101.2,0.5468,158.1,tradier_close,5690.0,56.2
1,NVDA,C,2024-01-08,2024-01-19,2024-01-19,11,11,720.0,0.01,0.0,0.01,tradier_close,0.0,0.0
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,555.0,2.31,0.262,43.45,tradier_close,4114.0,1781.0
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,780.0,0.04,0.0001,0.11,tradier_close,7.0,175.0
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,490.0,26.5,0.7335,108.11,tradier_close,8161.0,308.0
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,615.0,1.07,0.0839,16.2,tradier_close,1513.0,1414.0
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,355.0,160.0,0.943,245.6,athena_mid,8560.0,53.5
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,460.0,78.0,0.7636,135.05,tradier_close,5705.0,73.1
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,800.0,10.45,0.1542,26.2,tradier_close,1575.0,150.7
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,950.0,8.5,0.1118,18.25,tradier_close,975.0,114.7
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,280.0,274.13,0.9187,334.5,tradier_close,6037.0,22.0
1,NVDA,C,2024-01-08,2024-01-19,2025-12-19,711,11,330.0,239.5,0.8784,311.15,athena_mid,7165.0,29.9
1,NVDA,C,2024-01-08,2024-01-19,2026-12-18,1075,11,470.0,189.0,0.75,248.05,tradier_close,5905.0,31.2
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,460.0,51.85,0.9066,131.6,tradier_close,7975.0,153.8
1,NVDA,C,2024-01-08,2024-01-19,2024-02-02,25,11,680.0,0.12,0.0078,1.25,tradier_close,113.0,941.7
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,295.0,220.77,1.0,297.08,tradier_close,7631.0,34.6
1,NVDA,C,2024-01-08,2024-01-19,2024-02-16,39,11,400.0,103.6,0.9875,195.55,tradier_close,9195.0,88.8
1,NVDA,C,2024-01-08,2024-01-19,2024-05-17,130,11,680.0,8.25,0.1614,26.76,tradier_close,1851.0,224.4
1,NVDA,C,2024-01-08,2024-01-19,2024-06-21,165,11,650.0,16.31,0.269,45.8,tradier_close,2949.0,180.8
1,NVDA,C,2024-01-08,2024-01-19,2024-09-20,256,11,505.0,83.4,0.6424,128.25,tradier_close,4485.0,53.8
1,NVDA,C,2024-01-08,2024-01-19,2024-12-20,347,11,260.0,253.05,0.9598,347.7,athena_mid,9465.0,37.4
