conid,symbol,underlying_symbol,asset_category,put_call,strike,expiry,entry_date,exit_date,entry_price,exit_price,first_side,n_fills,max_abs_qty,realized_pnl,still_open,same_day,held_days,alert_kind,setup_grade,day_state,side,alerted,planned
4726868,AXTI,AXTI,STK,,,,2026-09-08,2026-09-08,67.45,68.53980000000001,SHORT,3,100.0,-111.1391,False,True,0,,F,OUT,short,False,False
4726868,AXTI,AXTI,STK,,,,2026-09-08,2026-09-08,69.905,69.545,SHORT,4,100.0,33.83579999999999,False,True,0,,F,OUT,short,False,False
4815747,NVDA,NVDA,STK,,,,2026-09-02,2026-09-02,224.7425,226.02297,LONG,4,100.0,125.5613,False,True,0,,B,FLAT,long,False,False
4815747,NVDA,NVDA,STK,,,,2026-09-02,2026-09-02,226.94,226.61255,LONG,4,100.0,-35.231899999999996,False,True,0,,B,FLAT,long,False,False
4815747,NVDA,NVDA,STK,,,,2026-09-10,2026-09-10,218.595,218.57049999999998,LONG,2,50.0,-3.4602000000000004,False,True,0,UR,B,LONG,long,True,True
8093509,MET,MET,STK,,,,2026-09-03,2026-09-03,98.4654,98.7905,LONG,4,50.0,14.1432,False,True,0,,C,LONG,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-08-14,2026-08-18,189.965,189.745,LONG,2,50.0,-13.2055,False,False,4,,C,FLAT,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-08-19,2026-08-28,206.3925,219.70999999999998,LONG,3,20.0,263.2556,False,False,9,,F,SHORT,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-09-02,2026-09-02,214.14500000000004,212.51,LONG,3,40.0,-67.5832,False,True,0,,C,LONG,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-09-03,2026-09-04,215.385,214.615,LONG,3,50.0,-40.73119999999997,False,False,1,,B,LONG,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-09-04,2026-09-04,218.415,215.89,LONG,3,50.0,-128.48239999999998,False,True,0,,F,OUT,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-09-08,2026-09-08,215.075,213.6,LONG,2,40.0,-61.184000000000026,False,True,0,UR,B,LONG,long,True,True
9869443,ILMN,ILMN,STK,,,,2026-09-11,2026-09-11,207.015,206.81019999999998,LONG,3,50.0,-12.462999999999994,False,True,0,,C,LONG,long,False,False
9869443,ILMN,ILMN,STK,,,,2026-09-15,2026-09-15,220.64,219.47079999999997,LONG,3,50.0,-60.69610000000003,False,True,0,,B,FLAT,long,False,False
29624264,CRM,CRM,STK,,,,2026-08-28,2026-08-28,256.845,256.8105,LONG,2,25.0,-2.9998,False,True,0,,F,OUT,long,False,False
29624264,CRM,CRM,STK,,,,2026-09-01,2026-09-01,255.42,257.75,LONG,2,100.0,230.44899999999998,False,True,0,,F,SHORT,long,False,False
29624264,CRM,CRM,STK,,,,2026-09-02,2026-09-02,260.37,262.08,SHORT,2,50.0,-87.7782,False,True,0,,F,SHORT,short,False,False
29624264,CRM,CRM,STK,,,,2026-09-03,2026-09-03,267.51,265.49,LONG,2,25.0,-52.6418,False,True,0,,F,OUT,long,False,False
30212431,HALO,HALO,STK,,,,2026-09-10,2026-09-10,107.3575,107.17375,SHORT,4,100.0,14.133700000000001,False,True,0,FBO,F,OUT,short,True,False
35447205,CF,CF,STK,,,,2026-08-21,2026-08-24,130.47999999999996,127.88,LONG,3,40.0,-106.1134,False,False,3,,F,OUT,long,False,False
35447205,CF,CF,STK,,,,2026-09-10,2026-09-14,138.835,137.21,SHORT,2,30.0,46.6582,False,False,4,FBO,F,OUT,short,True,False
41045553,CIEN,CIEN,STK,,,,2026-08-14,2026-08-17,427.41777777777776,449.9073333333334,LONG,5,45.0,1007.6039000000001,False,False,3,,F,OUT,long,False,False
41045553,CIEN,CIEN,STK,,,,2026-08-18,2026-08-18,400.805,399.8,LONG,2,10.0,-12.1344,False,True,0,,F,OUT,long,False,False
43645865,IBKR,IBKR,STK,,,,2026-08-31,2026-08-31,97.1,97.2605,LONG,2,100.0,13.8295,False,True,0,,F,OUT,long,False,False
45540822,KRE,KRE,STK,,,,2026-08-17,2026-08-18,77.6975,76.995,LONG,3,200.0,-143.8574,False,False,1,,F,OUT,long,False,False
45540828,XBI,XBI,STK,,,,2026-09-04,2026-09-04,163.705,163.46,LONG,3,100.0,-26.8568,False,True,0,,F,OUT,long,False,False
46671687,CVI,CVI,STK,,,,2026-09-11,2026-09-11,50.645,50.74,SHORT,2,30.0,-4.8873,False,True,0,,F,SHORT,short,False,False
46671687,CVI,CVI,STK,,,,2026-09-14,2026-09-15,48.453,50.29,SHORT,3,50.0,-94.91000000000001,False,False,1,PARA,C,SHORT,short,True,False
51529211,GLD,GLD,STK,,,,2026-09-02,2026-09-02,400.36495,400.71,SHORT,3,100.0,-37.3499,False,True,0,,F,OUT,short,False,False
70101545,MRK,MRK,STK,,,,2026-08-18,2026-08-28,143.04749999999999,145.925,LONG,5,50.0,140.7146,False,False,10,,F,OUT,long,False,False
70101545,MRK,MRK,STK,,,,2026-09-02,2026-09-02,151.055,150.9095,SHORT,2,100.0,12.2187,False,True,0,FBO,F,OUT,short,True,False
70236214,FTNT,FTNT,STK,,,,2026-08-28,2026-08-28,166.42206666666667,165.8705,LONG,4,75.0,-43.63889999999998,False,True,0,,F,SHORT,long,False,False
70236214,FTNT,FTNT,STK,,,,2026-09-01,2026-09-01,163.69,161.69,SHORT,3,100.0,196.6427,False,True,0,,F,OUT,short,False,False
70236214,FTNT,FTNT,STK,,,,2026-09-10,2026-09-10,159.32,160.76,SHORT,2,35.0,-52.5219,False,True,0,FBO,F,FLAT,short,True,False
73340487,SOXL,SOXL,STK,,,,2026-08-14,2026-08-18,143.595,127.15,LONG,2,10.0,-166.4782,False,False,4,,F,OUT,long,False,False
73340487,SOXL,SOXL,STK,,,,2026-08-20,2026-08-20,121.63500000000002,120.26050000000001,LONG,2,80.0,-112.17430000000013,False,True,0,,C,LONG,long,False,False
73340487,SOXL,SOXL,STK,,,,2026-08-25,2026-08-25,115.15,116.115,SHORT,2,50.0,-50.3787,False,True,0,,F,SHORT,short,False,False
73340487,SOXL,SOXL,STK,,,,2026-09-02,2026-09-02,105.44,106.02,SHORT,3,50.0,-31.118699999999997,False,True,0,,C,SHORT,short,False,False
76792991,TSLA,TSLA,STK,,,,2026-08-26,2026-08-26,346.572,346.5,LONG,3,20.0,-3.5868,False,True,0,,C,LONG,long,False,False
76792991,TSLA,TSLA,STK,,,,2026-09-02,2026-09-02,351.37,352.89599999999996,SHORT,4,50.0,-80.6719,False,True,0,,F,LONG,short,False,False
76792991,TSLA,TSLA,STK,,,,2026-09-10,2026-09-10,366.0,363.945,LONG,2,7.0,-16.4389,False,True,0,UR,C,LONG,long,True,False
76792991,TSLA,TSLA,STK,,,,2026-09-17,2026-09-17,364.64,367.9878,SHORT,3,10.0,-35.555099999999996,False,True,0,,F,FLAT,short,False,False
88819736,NBIS,NBIS,STK,,,,2026-08-17,2026-08-17,273.83,270.36,LONG,2,10.0,-36.7577,False,True,0,,F,SHORT,long,False,False
88819736,NBIS,NBIS,STK,,,,2026-08-21,2026-08-21,224.865,221.94,SHORT,3,50.0,144.0083,False,True,0,,F,OUT,short,False,False
88819736,NBIS,NBIS,STK,,,,2026-08-27,2026-08-27,220.99,224.06,SHORT,2,25.0,-78.86880000000001,False,True,0,,F,SHORT,short,False,False
88819736,NBIS,NBIS,STK,,,,2026-09-02,2026-09-02,203.41,204.219934,SHORT,4,100.0,-83.43260000000001,False,True,0,,C,SHORT,short,False,False
88819736,NBIS,NBIS,STK,,,,2026-09-04,2026-09-04,224.847,224.79049999999998,LONG,3,100.0,-8.133200000000002,False,True,0,,C,FLAT,long,False,False
88819736,NBIS,NBIS,STK,,,,2026-09-08,2026-09-08,245.135,243.92,SHORT,2,50.0,58.48739999999998,False,True,0,,F,OUT,short,False,False
88819736,NBIS,NBIS,STK,,,,2026-09-17,2026-09-17,213.055,213.07,LONG,2,20.0,-1.791799999999995,False,True,0,,B,LONG,long,False,False
109911821,NOW,NOW,STK,,,,2026-09-10,2026-09-10,132.555,133.865,SHORT,2,40.0,-54.5173,False,True,0,FBO,F,LONG,short,True,False
109911821,NOW,NOW,STK,,,,2026-09-17,2026-09-17,140.195,138.14,LONG,2,15.0,-32.8707,False,True,0,UR,B,LONG,long,True,True
110619459,PANW,PANW,STK,,,,2026-08-24,2026-08-25,351.65,346.79449999999997,LONG,4,20.0,-99.2569,False,False,1,,C,LONG,long,False,False
110619459,PANW,PANW,STK,,,,2026-09-02,2026-09-02,332.625,333.46,SHORT,2,10.0,-10.4205,False,True,0,,F,SHORT,short,False,False
110619459,PANW,PANW,STK,,,,2026-09-10,2026-09-10,338.51,340.44,SHORT,2,10.0,-21.3718,False,True,0,FBO,F,SHORT,short,True,False
118089500,ABBV,ABBV,STK,,,,2026-08-25,2026-08-26,265.11600000000004,262.77,LONG,3,50.0,-119.5807,False,False,1,,F,OUT,long,False,False
125980227,TMUS,TMUS,STK,,,,2026-08-20,2026-08-20,181.44,180.7045,LONG,3,100.0,-75.94239999999999,False,True,0,,B,LONG,long,False,False
125980227,TMUS,TMUS,STK,,,,2026-08-21,2026-08-21,185.55,182.8605,LONG,2,20.0,-55.86930000000001,False,True,0,,B,FLAT,long,False,False
125980227,TMUS,TMUS,STK,,,,2026-08-21,2026-08-26,182.905,179.96,LONG,2,30.0,-90.46719999999999,False,False,5,,B,FLAT,long,False,False
125980227,TMUS,TMUS,STK,,,,2026-08-31,2026-08-31,181.695,181.665,SHORT,3,100.0,0.6055999999999999,False,True,0,,C,FLAT,short,False,False
125980227,TMUS,TMUS,STK,,,,2026-09-01,2026-09-01,182.24,182.71,SHORT,2,100.0,-49.3955,False,True,0,,C,FLAT,short,False,False
125980227,TMUS,TMUS,STK,,,,2026-09-02,2026-09-02,187.57,186.96,LONG,4,100.0,-63.40520000000001,False,True,0,,C,LONG,long,False,False
125980227,TMUS,TMUS,STK,,,,2026-09-04,2026-09-08,183.07,180.9,LONG,3,50.0,-111.69639999999998,False,False,4,,F,OUT,long,False,False
135423662,AAOI,AAOI,STK,,,,2026-08-14,2026-08-14,148.78,148.035,SHORT,3,50.0,35.0867,False,True,0,,F,LONG,short,False,False
135423662,AAOI,AAOI,STK,,,,2026-08-14,2026-08-14,148.3625,148.46,SHORT,3,100.0,-13.075700000000005,False,True,0,,F,LONG,short,False,False
135423662,AAOI,AAOI,STK,,,,2026-08-14,2026-08-14,147.68,148.8495,SHORT,3,50.0,-60.6372,False,True,0,,F,LONG,short,False,False
135423662,AAOI,AAOI,STK,,,,2026-08-17,2026-08-17,157.51,155.87,LONG,3,10.0,-18.4341,False,True,0,,F,OUT,long,False,False
135423662,AAOI,AAOI,STK,,,,2026-08-20,2026-08-20,123.91,125.23,SHORT,2,50.0,-68.1377,False,True,0,,F,LONG,short,False,False
135423662,AAOI,AAOI,STK,,,,2026-09-10,2026-09-10,105.04,109.1995,SHORT,2,15.0,-64.428,False,True,0,BIR,F,SHORT,short,True,False
135423662,AAOI,AAOI,STK,,,,2026-09-10,2026-09-11,106.93833333333333,104.29,SHORT,4,105.0,273.8226,False,False,1,BIR,F,SHORT,short,True,False
180352934,APPS,APPS,STK,,,,2026-08-28,2026-08-28,11.492849999999999,11.1383,LONG,7,200.0,-72.99620000000003,False,True,0,,B,FLAT,long,False,False
190480965,ETSY,ETSY,STK,,,,2026-08-24,2026-08-26,86.855,82.445,LONG,2,10.0,-46.119,False,False,2,,C,FLAT,long,False,False
198950253,NTRA,NTRA,STK,,,,2026-09-10,2026-09-10,330.42,325.55,LONG,2,10.0,-50.7691,False,True,0,,F,OUT,long,False,False
201113895,LITE,LITE,STK,,,,2026-09-01,2026-09-01,875.3449999999999,864.5205,LONG,2,3.0,-34.5275,False,True,0,,B,LONG,long,False,False
201113895,LITE,LITE,STK,,,,2026-09-09,2026-09-09,1025.455,1015.045,LONG,2,4.0,-43.72449999999999,False,True,0,ORB9,F,OUT,long,True,False
201113895,LITE,LITE,STK,,,,2026-09-11,2026-09-11,940.69375,937.345,LONG,3,4.0,-15.472999999999985,False,True,0,UR,B,LONG,long,True,True
201113895,LITE,LITE,STK,,,,2026-09-16,2026-09-17,896.78,897.0005,LONG,2,2.0,-1.5963999999999956,False,False,1,,F,OUT,long,False,False
208813719,GOOGL,GOOGL,STK,,,,2026-09-03,2026-09-03,342.2075,342.9725,SHORT,4,50.0,-42.6125,False,True,0,BIR,F,SHORT,short,True,False
208813719,GOOGL,GOOGL,STK,,,,2026-09-09,2026-09-09,330.435,330.26,LONG,2,50.0,-11.100200000000001,False,True,0,,F,SHORT,long,False,False
208813719,GOOGL,GOOGL,STK,,,,2026-09-10,2026-09-10,330.885,332.6,SHORT,2,30.0,-53.6605,False,True,0,BIR,F,OUT,short,True,False
208813719,GOOGL,GOOGL,STK,,,,2026-09-16,2026-09-16,346.635,344.4714125,LONG,5,40.0,-88.8354,False,True,0,UR,B,LONG,long,True,True
209411798,HPE,HPE,STK,,,,2026-08-20,2026-08-20,53.855,52.8,LONG,2,100.0,-107.6289,False,True,0,UR,C,LONG,long,True,False
209411798,HPE,HPE,STK,,,,2026-08-20,2026-08-20,53.735,52.98,LONG,2,100.0,-77.6292,False,True,0,UR,C,LONG,long,True,False
209411798,HPE,HPE,STK,,,,2026-08-27,2026-08-27,54.295,54.17105000000001,LONG,6,300.0,-40.58009999999997,False,True,0,,C,LONG,long,False,False
209411798,HPE,HPE,STK,,,,2026-09-14,2026-09-14,55.35,55.8583,SHORT,4,100.0,-52.9641,False,True,0,PARA,C,SHORT,short,True,False
209411798,HPE,HPE,STK,,,,2026-09-15,2026-09-15,57.51,56.950500000000005,LONG,2,100.0,-58.0874,False,True,0,,B,FLAT,long,False,False
209411798,HPE,HPE,STK,,,,2026-09-16,2026-09-16,57.09,56.670100000000005,LONG,2,100.0,-44.12679999999999,False,True,0,UR,B,LONG,long,True,True
209411798,HPE,HPE,STK,,,,2026-09-17,2026-09-17,61.44,61.255,SHORT,2,100.0,16.353300000000004,False,True,0,,F,LONG,short,False,False
209411801,HPQ,HPQ,STK,,,,2026-08-13,2026-08-13,31.945,31.89,LONG,2,200.0,-13.1716,False,True,0,,F,OUT,long,False,False
209411801,HPQ,HPQ,STK,,,,2026-08-13,2026-08-13,31.795,31.21,LONG,2,200.0,-119.16879999999999,False,True,0,,F,OUT,long,False,False
209411801,HPQ,HPQ,STK,,,,2026-08-17,2026-08-17,29.719949999999997,29.295000000000005,LONG,5,200.0,-87.15090000000001,False,True,0,,F,OUT,long,False,False
209411801,HPQ,HPQ,STK,,,,2026-08-20,2026-08-24,29.715,29.141800000000003,LONG,2,300.0,-175.20040000000003,False,False,4,,F,OUT,long,False,False
212671971,XYZ,XYZ,STK,,,,2026-08-24,2026-08-31,83.275,82.02,LONG,3,50.0,-64.8445,False,False,7,,B,LONG,long,False,False
229726316,GDX,GDX,STK,,,,2026-08-27,2026-08-27,102.51,102.75,SHORT,2,100.0,-26.2313,False,True,0,,F,OUT,short,False,False
272356196,OKTA,OKTA,STK,,,,2026-08-28,2026-08-28,171.825,169.0425,SHORT,3,30.0,81.3628,False,True,0,,F,OUT,short,False,False
272356196,OKTA,OKTA,STK,,,,2026-08-31,2026-08-31,173.85,172.955,LONG,3,50.0,-46.9382,False,True,0,,F,OUT,long,False,False
272356196,OKTA,OKTA,STK,,,,2026-09-01,2026-09-01,163.87,164.46,SHORT,3,100.0,-61.3576,False,True,0,,F,OUT,short,False,False
272356196,OKTA,OKTA,STK,,,,2026-09-09,2026-09-09,173.545,171.3,LONG,2,30.0,-69.4619,False,True,0,,F,OUT,long,False,False
272356196,OKTA,OKTA,STK,,,,2026-09-10,2026-09-10,178.805,175.13,LONG,2,10.0,-38.7881,False,True,0,ORB9,F,OUT,long,True,False
292735472,SE,SE,STK,,,,2026-08-13,2026-08-13,125.975,123.3092,SHORT,5,100.0,263.3003,False,True,0,,F,OUT,short,False,False
292833239,MDB,MDB,STK,,,,2026-08-13,2026-08-13,454.72710000000006,455.77744999999993,SHORT,7,100.0,-107.99180000000001,False,True,0,,F,OUT,short,False,False
292833239,MDB,MDB,STK,,,,2026-08-13,2026-08-13,452.89,452.495,LONG,2,25.0,-12.1131,False,True,0,,F,OUT,short,False,False
292833239,MDB,MDB,STK,,,,2026-08-13,2026-08-13,452.495,455.6968,SHORT,3,25.0,-81.283,False,True,0,,F,OUT,short,False,False
292833239,MDB,MDB,STK,,,,2026-08-14,2026-08-14,458.95,460.8295,SHORT,2,50.0,-96.4578,False,True,0,,F,OUT,short,False,False
292833239,MDB,MDB,STK,,,,2026-08-20,2026-08-20,426.52,430.19,SHORT,2,25.0,-93.9747,False,True,0,,F,OUT,short,False,False
292833239,MDB,MDB,STK,,,,2026-08-25,2026-08-25,401.251,402.13,LONG,3,50.0,41.525800000000004,False,True,0,,F,OUT,long,False,False
313130367,AVGO,AVGO,STK,,,,2026-08-14,2026-08-18,393.316,384.315,LONG,3,25.0,-227.2279,False,False,4,,C,LONG,long,False,False
326398514,BE,BE,STK,,,,2026-08-27,2026-08-27,220.86,222.53,SHORT,2,50.0,-85.7375,False,True,0,,F,FLAT,short,False,False
326398514,BE,BE,STK,,,,2026-08-31,2026-08-31,204.09,206.1475,SHORT,3,50.0,-105.0953,False,True,0,,F,SHORT,short,False,False
326398514,BE,BE,STK,,,,2026-09-01,2026-09-01,204.9131,208.139,LONG,5,50.0,159.0706,False,True,0,,F,SHORT,long,False,False
326398514,BE,BE,STK,,,,2026-09-02,2026-09-02,215.109,216.03,SHORT,4,50.0,-48.28159999999997,False,True,0,,C,FLAT,short,False,False
326398514,BE,BE,STK,,,,2026-09-04,2026-09-04,243.955,244.625,SHORT,3,50.0,-35.761300000000006,False,True,0,,F,OUT,short,False,False
326398514,BE,BE,STK,,,,2026-09-15,2026-09-15,258.57250000000005,259.266125,SHORT,5,40.0,-30.966199999999986,False,True,0,,F,OUT,short,False,False
335906876,GH,GH,STK,,,,2026-09-10,2026-09-10,158.97,161.285,LONG,2,18.0,39.6066,False,True,0,UR,C,FLAT,long,True,False
346218218,DELL,DELL,STK,,,,2026-08-13,2026-08-14,501.27,489.0005,LONG,2,10.0,-124.79769999999999,False,False,1,,F,OUT,long,False,False
