time,sym,ac,und,side,qty,px,oc,before,after,realized,comm,cash,close,mult
11:22:54,SOXL,STK,SOXL,SELL,-4,140.5905,C,4.0,0.0,-22.001061,-0.012376657,562.349623343,144.95,1
11:24:00,AAOI,STK,AAOI,SELL,-2,147.68,O,0.0,-2.0,0.012544,-1.006480416,294.353519584,150.28,1
11:24:00,AAOI,STK,AAOI,SELL,-48,147.68,O,-2.0,-50.0,0.301045,-0.155529984,7088.484470016,150.28,1
11:29:36,QUBT  260821C00009000,OPT,QUBT,BUY,4,0.34,O,0.0,4.0,0.0,-2.76112,-138.76112,0.335,100
11:29:36,QUBT  260821P00009000,OPT,QUBT,BUY,4,0.37,O,0.0,4.0,0.0,-2.76112,-150.76112,0.3589,100
11:29:49,AAOI,STK,AAOI,BUY,50,148.8495,C,-50.0,0.0,-60.950749,-1.00015,-7443.47515,150.28,1
11:30:38,ETHA  260821C00014000,OPT,ETHA,BUY,3,0.39,O,0.0,3.0,0.0,-2.0499,-119.0499,0.37,100
11:30:38,ETHA  260821C00014000,OPT,ETHA,BUY,1,0.38,O,3.0,4.0,0.0,-0.8973,-38.8973,0.37,100
11:30:38,ETHA  260821P00014000,OPT,ETHA,BUY,1,0.22,O,0.0,1.0,0.0,-1.2473,-23.2473,0.185,100
11:30:38,ETHA  260821P00014000,OPT,ETHA,BUY,3,0.21,O,1.0,4.0,0.0,-1.6999,-64.6999,0.185,100
11:39:24,TSLA  260821C00350000,OPT,TSLA,BUY,1,2.9,O,0.0,1.0,314.092048,-1.0473,-291.0473,3.975,100
11:51:19,DELL,STK,DELL,SELL,-10,489.0005,C,10.0,0.0,-148.921942,-1.102714103,4888.902285897,490.81,1
11:55:43,MRVL,STK,MRVL,BUY,25,219.305,O,0.0,25.0,3.614988,-1.000075,-5483.625075,222.02,1
11:58:39,FCEL,STK,FCEL,BUY,100,22.51,O,0.0,100.0,70.512928,-1.0003,-2252.0003,22.37,1
11:59:07,AEHR,STK,AEHR,BUY,40,135.8,O,0.0,40.0,0.0,-1.00012,-5433.00012,134.06,1
12:01:03,ALAB,STK,ALAB,BUY,30,315.78,O,0.0,30.0,178.40004,-1.00009,-9474.40009,321.61,1
12:05:40,IONQ,STK,IONQ,BUY,8,46.7072,O,0.0,8.0,0.0,-1.000024,-374.657624,46.26,1
12:05:40,IONQ,STK,IONQ,BUY,92,46.7068,O,8.0,100.0,0.0,-0.000276,-4297.025876,46.26,1
12:08:09,NET,STK,NET,BUY,1,321.225,O,0.0,1.0,22.683564,-1.000003,-322.225003,315.78,1
12:08:09,NET,STK,NET,BUY,1,321.225,O,1.0,2.0,22.683564,-3e-06,-321.225003,315.78,1
12:08:09,NET,STK,NET,BUY,48,321.225,O,2.0,50.0,733.714534,-0.000144,-15418.800144,315.78,1
12:09:46,GOOGL 260821C00350000,OPT,GOOGL,SELL,-1,3.1,C,2.0,1.0,0.0,-1.042976,308.957024,3.175,100
12:09:46,GOOGL 260821C00350000,OPT,GOOGL,SELL,-1,3.1,C,1.0,0.0,-39.213312,-0.342976,309.657024,3.175,100
12:15:54,SMCI,STK,SMCI,BUY,100,39.365,O,0.0,100.0,65.09324,-1.0003,-3937.5003,39.84,1
12:18:59,STX,STK,STX,BUY,2,958.515,O,4.0,6.0,0.0,-1.000006,-1918.030006,973.44,1
12:21:34,CRCL  260918C00085000,OPT,CRCL,BUY,1,3.15,O,0.0,1.0,98.732537,-0.6853,-315.6853,2.83,100
12:22:49,CRCL,STK,CRCL,BUY,15,72.745,O,0.0,15.0,0.0,-1.000045,-1092.175045,71.6,1
12:22:49,CRCL,STK,CRCL,BUY,85,72.76,O,15.0,100.0,0.0,-0.000255,-6184.600255,71.6,1
12:26:51,CBRS,STK,CBRS,SELL,-20,225.445,O,0.0,-20.0,0.0,-1.09684334,4507.80315666,218.98,1
12:27:09,CBRS,STK,CBRS,BUY,40,225.54,C;O,-20.0,20.0,159.484812,-1.00012,-9022.60012,218.98,1
12:33:04,CBRS  261016P00170000,OPT,CBRS,BUY,1,10.1,O,0.0,1.0,0.0,-0.23006,-1010.23006,9.8352,100
12:33:04,CBRS  261016P00180000,OPT,CBRS,SELL,-1,13.36,O,0.0,-1.0,0.0,-0.2608716,1335.7391284,13.8446,100
12:33:11,NET,STK,NET,SELL,-4,319.975,C,50.0,46.0,-51.164184,-1.02715794,1278.87284206,315.78,1
12:33:11,NET,STK,NET,SELL,-20,319.975,C,46.0,26.0,-501.79239,-0.1357897,6399.3642103,315.78,1
12:33:11,NET,STK,NET,SELL,-1,319.86,C,26.0,25.0,-12.656044,-0.006787116,319.853212884,315.78,1
12:33:11,NET,STK,NET,SELL,-25,319.8606,C,25.0,0.0,-281.283607,-0.169678209,7996.345321791,315.78,1
12:33:41,CBRS,STK,CBRS,SELL,-20,223.73,C,20.0,0.0,-200.777911,-1.09613676,4473.50386324,218.98,1
12:42:10,MDB,STK,MDB,SELL,-50,458.95,O,0.0,-50.0,53.992701,-1.4826185,22946.0173815,460.33,1
12:46:05,ALAB,STK,ALAB,SELL,-30,314.8305,C,30.0,0.0,-209.085636,-1.200505249,9443.714494751,321.61,1
12:47:31,ORCL  260904C00160000,OPT,ORCL,SELL,-1,5.05,C,1.0,0.0,-131.548293,-0.780993,504.219007,4.375,100
12:48:17,MDB,STK,MDB,BUY,50,460.8295,C,-50.0,0.0,-150.45047,-1.00015,-23042.47515,460.33,1
12:50:39,RGTI  260918P00017000,OPT,RGTI,SELL,-1,0.89,O,0.0,-1.0,0.0,-1.0454034,87.9545966,0.885,100
13:01:04,TSLA  260821C00350000,OPT,TSLA,SELL,-1,2.98,C,1.0,0.0,-308.182077,-1.0427288,296.9572712,3.975,100
13:07:14,COHR  260918P00280000,OPT,COHR,BUY,1,11.49,O,0.0,1.0,0.0,-0.23006,-1149.23006,10.909,100
13:07:14,COHR  260918P00290000,OPT,COHR,SELL,-1,14.75,O,0.0,-1.0,0.0,-0.263735,1474.736265,14.8286,100
13:10:22,CRWV,STK,CRWV,BUY,75,105.98,O,0.0,75.0,211.980477,-1.000225,-7949.500225,105.26,1
13:12:12,CRWV  260821C00110000,OPT,CRWV,BUY,1,2.89,O,0.0,1.0,0.0,-1.0333,-290.0333,2.5655,100
13:16:05,HPQ   260918C00029000,OPT,HPQ,SELL,-1,2.7,C,1.0,0.0,37.534378,-0.776152,269.223848,2.611,100
13:20:44,AEHR,STK,AEHR,SELL,-11,132.91,C,40.0,29.0,-33.097328,-1.032295406,1460.977704594,134.06,1
13:20:44,AEHR,STK,AEHR,SELL,-29,132.93,C,29.0,0.0,-84.040241,-0.085154382,3854.884845618,134.06,1
13:32:37,CIEN,STK,CIEN,BUY,25,424.78,O,0.0,25.0,0.0,-1.000075,-10620.500075,428.77,1
13:46:22,HOOD  260918C00110000,OPT,HOOD,SELL,-1,2.68,C,1.0,0.0,-52.823411,-0.7761108,267.2238892,2.39,100
13:47:39,HOOD  261016C00110000,OPT,HOOD,SELL,-1,5.08,C,1.0,0.0,6.912665,-1.0540348,506.9459652,4.625,100
13:53:05,TSLA  260821C00352500,OPT,TSLA,BUY,1,3.17,O,0.0,1.0,0.0,-0.78006,-317.78006,3.3,100
13:54:12,HOOD  260828C00100000,OPT,HOOD,SELL,-1,2.75,C,1.0,0.0,28.183465,-0.776255,274.223745,2.463,100
13:55:02,KTOS  260828P00056000,OPT,KTOS,BUY,1,0.53,C,-1.0,0.0,84.913266,-1.04028,-54.04028,0.505,100
13:56:57,KTOS  261120C00085000,OPT,KTOS,SELL,-1,3.4,C,1.0,0.0,-28.909874,0.130406,340.130406,3.23,100
14:02:05,IONQ,STK,IONQ,SELL,-100,46.2305,C,100.0,0.0,-49.748535,-1.11503483,4621.93496517,46.26,1
14:10:51,MRNA  260911C00070000,OPT,MRNA,SELL,-1,2.26,C,1.0,0.0,-63.582546,-0.7952456,225.2047544,2.5406,100
14:22:10,CRWV,STK,CRWV,SELL,-75,104.9205,C,75.0,0.0,-293.620153,-1.176952173,7867.860547827,105.26,1
14:25:30,ORCL,STK,ORCL,BUY,30,150.7,O,0.0,30.0,38.984196,-1.00009,-4522.00009,150.52,1
14:30:06,CRCL,STK,CRCL,SELL,-6,71.77,C,100.0,94.0,-6.950077,-1.010058772,429.609941228,71.6,1
14:30:06,CRCL,STK,CRCL,SELL,-94,71.77,C,94.0,0.0,-93.992869,-0.157587428,6746.222412572,71.6,1
14:31:06,FTNT  260821C00157500,OPT,FTNT,SELL,-1,5.93,C,1.0,0.0,-43.562866,-0.7955658,592.2044342,4.7515,100
14:32:51,MRVL,STK,MRVL,SELL,-25,218.8,C,25.0,0.0,-18.357695,-1.117632,5468.882368,222.02,1
14:33:30,CRWV  260821C00110000,OPT,CRWV,SELL,-1,2.3,C,1.0,0.0,-61.074628,-1.041328,228.958672,2.5655,100
14:41:45,ALAB,STK,ALAB,BUY,20,318.015,O,0.0,20.0,198.857104,-1.00006,-6361.30006,321.61,1
14:52:20,KLAC,STK,KLAC,BUY,14,203.45,O,0.0,14.0,0.0,-1.000042,-2849.300042,203.72,1
14:52:20,KLAC,STK,KLAC,BUY,11,203.45,O,14.0,25.0,0.0,-3.3e-05,-2237.950033,203.72,1
14:52:39,LRCX,STK,LRCX,BUY,25,329.955,O,0.0,25.0,0.0,-1.000075,-8249.875075,332.36,1
14:58:10,ORCL,STK,ORCL,SELL,-15,149.455,C,30.0,15.0,-39.882961,-1.049151595,2240.775848405,150.52,1
14:58:10,ORCL,STK,ORCL,SELL,-15,149.44,C,15.0,0.0,-38.774623,-0.04914696,2241.55085304,150.52,1
15:13:54,HPE   260918C00060000,OPT,HPE,SELL,-1,4.9,C,1.0,0.0,158.152016,-0.800684,489.199316,4.775,100
15:25:38,STX,STK,STX,SELL,-6,962.1405,C,6.0,0.0,364.692873,-1.120108566,5771.722891434,973.44,1
15:28:52,SOXL,STK,SOXL,BUY,10,143.595,O,0.0,10.0,14.52668,-1.00003,-1436.95003,144.95,1
15:36:48,AAOI  260821P00112000,OPT,AAOI,BUY,1,0.37,O,0.0,1.0,0.0,-1.04028,-38.04028,0.3329,100
15:36:48,AAOI  260821P00130000,OPT,AAOI,SELL,-1,2.07,O,0.0,-1.0,0.0,-1.0478342,205.9521658,1.8249,100
15:39:50,CRWV  260828C00115000,OPT,CRWV,BUY,1,3.07,O,0.0,1.0,0.0,-1.04028,-308.04028,2.9016,100
15:42:37,CRDO,STK,CRDO,BUY,1,260.285,O,0.0,1.0,7.506816,-1.000003,-261.285003,259.9,1
15:42:37,CRDO,STK,CRDO,BUY,24,260.285,O,1.0,25.0,106.095427,-7.2e-05,-6246.840072,259.9,1
15:44:53,AVGO,STK,AVGO,BUY,22,393.31,O,0.0,22.0,0.0,-1.000066,-8653.820066,392.99,1
15:44:53,AVGO,STK,AVGO,BUY,3,393.36,O,22.0,25.0,0.0,-9e-06,-1180.080009,392.99,1
15:47:44,STX,STK,STX,BUY,3,971.92,O,0.0,3.0,0.0,-1.000009,-2916.760009,973.44,1
15:53:40,ILMN,STK,ILMN,BUY,50,189.965,O,0.0,50.0,158.018021,-1.00015,-9499.25015,190.89,1
15:54:30,KLAC,STK,KLAC,SELL,-8,203.42,C,25.0,17.0,-1.84656,-1.035107616,1626.324892384,203.72,1
15:54:30,KLAC,STK,KLAC,SELL,-17,203.4207,C,17.0,0.0,-1.001326,-0.074603929,3458.077296071,203.72,1
15:56:32,CIEN,STK,CIEN,BUY,20,430.715,O,25.0,45.0,0.0,-1.00006,-8615.30006,428.77,1
15:57:49,AEHR,STK,AEHR,BUY,20,133.85,O,0.0,20.0,59.178782,-1.00006,-2678.00006,134.06,1
